opponent,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints,uncontestedPossessions W Mean,uncontestedPossessions,contestedPossessions W Mean,contestedPossessions,marks W Mean,marks,contestedMarks W Mean,contestedMarks,uncontestedMarks W Mean,uncontestedMarks,kicks W Mean,kicks,handballs W Mean,handballs,disposals W Mean,disposals,tackles W Mean,tackles,clearances.totalClearances W Mean,clearances.totalClearances,goals W Mean,goals,behinds W Mean,behinds,freesFor W Mean,freesFor,freesAgainst W Mean,freesAgainst,inside50s W Mean,inside50s,marksInside50 W Mean,marksInside50,disposalEfficiency W Mean,disposalEfficiency,rebound50s W Mean,rebound50s,goalAssists W Mean,goalAssists,tacklesInside50 W Mean,tacklesInside50,metresGained W Mean,metresGained,extendedStats.groundBallGets W Mean,extendedStats.groundBallGets,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches,extendedStats.centreBounceAttendances W Mean,extendedStats.centreBounceAttendances
Adelaide Crows,267.59,-0.1,1.79,36.21,-7.64,32.47,8.65,9.48,-9.67,0.76,40.74,8.73,-12.29,36.62,4.58,31.82,-6.31,68.45,-0.77,15.53,14.1,15.65,12.7,1.6,12.83,1.19,6.16,3.76,10.23,3.9,24.48,12.11,2.69,1.05,5.11,204.5,-2.13,4.3,-4.51,1.62,-3.57,1.98,18.0,1071.24,5.65,22.85,10.0,4.13,-0.43,50.46,0.27
Brisbane Lions,248.49,-5.46,-5.48,38.91,-0.75,26.45,-11.49,11.08,5.57,0.35,-35.19,10.72,7.71,32.35,-7.61,32.5,-4.31,64.85,-5.98,13.43,-1.33,12.62,-9.12,0.91,-35.83,0.99,-11.69,2.53,-25.83,3.23,3.1,10.22,-13.34,1.18,18.12,204.2,-2.27,4.76,5.71,1.57,-6.55,1.95,16.21,949.93,-6.31,18.77,-9.64,3.28,-20.93,50.8,0.95
Carlton,258.58,0.23,-1.64,37.19,-5.14,28.19,-5.67,10.61,1.1,0.53,-1.85,10.07,1.18,34.49,-1.5,30.75,-9.46,65.23,-5.43,14.51,6.6,12.99,-6.45,1.58,11.42,1.18,5.26,3.09,-9.41,3.37,7.56,11.84,0.4,1.28,28.13,206.8,-1.03,4.45,-1.18,1.73,2.98,2.02,20.38,1032.04,1.79,19.72,-5.06,3.88,-6.46,49.84,-0.96
Collingwood,267.21,-4.52,1.64,41.26,5.24,30.25,1.22,10.52,0.24,0.6,11.11,9.92,-0.33,36.4,3.96,35.51,4.55,71.91,4.25,12.78,-6.11,13.25,-4.58,1.38,-2.68,1.43,27.56,3.61,5.83,3.06,-2.33,11.98,1.59,0.85,-14.91,209.67,0.35,4.32,-4.06,1.5,-10.71,1.55,-7.63,1026.37,1.23,21.75,4.71,4.17,0.53,50.43,0.21
Essendon,257.37,0.07,-2.1,39.39,0.47,29.25,-2.12,11.25,7.19,0.46,-14.81,10.8,8.51,35.09,0.21,33.2,-2.25,68.29,-1.0,12.04,-11.54,13.22,-4.8,1.46,2.96,0.9,-19.71,3.1,-9.12,3.04,-2.97,10.9,-7.57,0.77,-22.92,213.36,2.11,5.47,21.47,1.87,11.31,1.39,-17.16,1008.13,-0.57,20.59,-0.88,4.84,16.68,49.33,-1.97
Fremantle,255.25,-2.18,-2.91,37.68,-3.89,27.82,-6.91,10.7,1.95,0.58,7.41,10.12,1.68,33.96,-3.01,32.0,-5.78,65.96,-4.38,13.47,-1.04,12.82,-7.68,1.29,-9.03,1.26,12.4,3.13,-8.24,2.97,-5.2,10.74,-8.93,1.04,4.1,208.65,-0.14,4.3,-4.51,1.63,-2.98,1.93,15.02,957.71,-5.54,19.37,-6.75,4.42,6.56,48.71,-3.2
GWS GIANTS,258.83,-2.56,-1.55,39.65,1.14,31.94,6.88,9.29,-11.48,0.37,-31.48,8.92,-10.38,35.13,0.33,36.04,6.11,71.17,3.18,12.33,-9.41,15.43,11.12,1.1,-22.43,1.21,7.94,3.86,13.16,2.64,-15.74,12.62,7.01,0.54,-45.95,210.2,0.6,4.85,7.71,1.36,-19.05,1.38,-17.76,1033.69,1.95,22.01,5.96,4.52,8.97,53.6,6.51
Geelong Cats,284.38,4.47,8.17,41.42,5.65,31.99,7.04,9.86,-6.05,0.51,-5.56,9.35,-6.06,37.54,7.21,36.56,7.64,74.1,7.43,16.07,18.07,16.37,17.89,1.46,2.96,0.94,-16.15,3.92,14.92,3.04,-2.97,12.15,3.03,0.96,-3.9,206.81,-1.02,5.25,16.59,1.61,-4.17,2.14,27.53,1091.83,7.68,20.79,0.09,4.27,2.94,54.83,8.96
Gold Coast SUNS,258.55,-2.02,-1.65,39.54,0.86,28.51,-4.6,10.59,0.91,0.3,-44.44,10.3,3.49,34.9,-0.33,33.44,-1.54,68.34,-0.92,13.69,0.58,13.63,-1.84,1.45,2.26,1.19,6.16,3.04,-10.88,4.23,35.01,12.06,2.26,0.98,-1.9,209.27,0.15,4.58,1.71,1.21,-27.98,1.74,3.69,1046.44,3.21,20.37,-1.94,4.29,3.42,50.09,-0.46
Hawthorn,246.19,-7.13,-6.35,35.44,-9.6,28.39,-5.0,9.47,-9.77,0.44,-18.52,9.03,-9.27,31.42,-10.27,31.58,-7.02,63.0,-8.67,14.16,4.03,12.79,-7.89,1.23,-13.26,0.79,-29.53,3.75,9.94,2.9,-7.44,10.28,-12.83,0.97,-2.9,213.05,1.96,4.4,-2.29,1.49,-11.31,1.38,-17.76,919.6,-9.3,18.3,-11.9,3.33,-19.72,48.11,-4.4
