,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Geelong Cats,Round 1,105.59,8.19,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,-10.16,94.86
Sydney Swans,Round 2,105.59,-1.08,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-12.87,92.0
West Coast Eagles,Round 3,105.59,8.43,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,-0.22,105.36
Western Bulldogs,Round 4,105.59,-1.76,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-16.38,88.29
Richmond,Round 5,105.59,11.53,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,13.65,120.0
Melbourne,Round 6,105.59,4.67,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,1.94,107.64
Adelaide Crows,Round 7,105.59,1.05,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,-9.08,96.0
St Kilda,Round 8,105.59,-4.16,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,3.7,109.5
Collingwood,Round 9,105.59,1.89,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,3.77,109.57
GWS GIANTS,Round 10,105.59,-0.97,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,9.52,115.64
Port Adelaide,Round 11,105.59,-7.03,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-9.21,95.86
Gold Coast SUNS,Round 12,105.59,-1.69,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,6.48,112.43
North Melbourne,Round 14,105.59,-0.82,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,19.33,126.0
Essendon,Round 15,105.59,-2.09,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,7.65,113.67
St Kilda,Round 16,105.59,-4.16,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,3.7,109.5
Sydney Swans,Round 17,105.59,-1.08,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-12.87,92.0
Hawthorn,Round 18,105.59,-6.36,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,3.9,109.71
Collingwood,Round 19,105.59,1.89,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,3.77,109.57
West Coast Eagles,Round 20,105.59,8.43,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,-0.22,105.36
Carlton,Round 21,105.59,-2.11,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-7.82,97.33
Port Adelaide,Round 22,105.59,-7.03,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-9.21,95.86
Brisbane Lions,Round 23,105.59,-4.97,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,11.21,117.43
Western Bulldogs,Round 24,105.59,-1.76,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-16.38,88.29
