,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Collingwood,Round 1,98.07,1.94,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,-18.86,79.57
Richmond,Round 2,98.07,12.33,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,4.37,102.36
Essendon,Round 3,98.07,-1.42,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,29.2,126.71
St Kilda,Round 4,98.07,-4.28,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-11.15,87.14
Hawthorn,Round 5,98.07,-7.19,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,0.0,0.0
Sydney Swans,Round 6,98.07,-0.63,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-29.64,69.0
North Melbourne,Round 7,98.07,-0.4,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,-39.5,59.33
Western Bulldogs,Round 8,98.07,-1.89,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,26.3,123.86
Adelaide Crows,Round 9,98.07,1.98,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,-29.31,69.33
Geelong Cats,Round 10,98.07,7.33,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,1.12,99.17
Fremantle,Round 11,98.07,-2.65,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-9.25,89.0
GWS GIANTS,Round 13,98.07,-2.07,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,0.0,0.0
Melbourne,Round 14,98.07,5.53,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,8.42,106.33
Sydney Swans,Round 15,98.07,-0.63,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-29.64,69.0
Carlton,Round 16,98.07,-1.12,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-11.29,87.0
Brisbane Lions,Round 17,98.07,-5.64,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,10.46,108.33
West Coast Eagles,Round 18,98.07,8.15,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,20.76,118.43
Hawthorn,Round 19,98.07,-7.19,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,0.0,0.0
Adelaide Crows,Round 20,98.07,1.98,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,-29.31,69.33
Geelong Cats,Round 21,98.07,7.33,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,1.12,99.17
Fremantle,Round 22,98.07,-2.65,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-9.25,89.0
Carlton,Round 23,98.07,-1.12,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-11.29,87.0
Gold Coast SUNS,Round 24,98.07,-1.14,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,5.71,103.67
