,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Adelaide Crows,Round 1,105.48,2.04,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,-9.94,95.0
Geelong Cats,Round 2,105.48,8.58,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,11.94,118.07
Richmond,Round 3,105.48,11.35,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,-3.57,101.71
Port Adelaide,Round 4,105.48,-6.53,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-3.97,101.29
GWS GIANTS,Round 5,105.48,-2.58,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,14.31,120.57
Western Bulldogs,Round 6,105.48,-2.38,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-5.06,100.14
Brisbane Lions,Round 7,105.48,-4.03,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,-18.74,85.71
Fremantle,Round 8,105.48,-2.43,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-15.35,89.29
Carlton,Round 9,105.48,-0.86,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-17.24,87.29
West Coast Eagles,Round 10,105.48,8.23,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,6.46,112.29
Gold Coast SUNS,Round 11,105.48,-1.23,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,-10.61,94.29
Melbourne,Round 12,105.48,3.53,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,18.91,125.43
Western Bulldogs,Round 14,105.48,-2.38,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-5.06,100.14
Collingwood,Round 15,105.48,0.87,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,9.66,115.67
Fremantle,Round 16,105.48,-2.43,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-15.35,89.29
Hawthorn,Round 17,105.48,-5.33,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,13.29,119.5
Sydney Swans,Round 18,105.48,-0.96,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,2.32,107.93
Geelong Cats,Round 19,105.48,8.58,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,11.94,118.07
Melbourne,Round 20,105.48,3.53,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,18.91,125.43
North Melbourne,Round 21,105.48,-1.09,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,-2.35,103.0
Richmond,Round 22,105.48,11.35,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,-3.57,101.71
Essendon,Round 23,105.48,-2.55,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,11.87,118.0
GWS GIANTS,Round 24,105.48,-2.58,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,14.31,120.57
