,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Western Bulldogs,Round 1,85.89,-2.35,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-34.8,56.0
Melbourne,Round 2,85.89,7.38,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,0.0,0.0
Adelaide Crows,Round 3,85.89,1.61,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,-34.02,56.67
Sydney Swans,Round 4,85.89,-0.59,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,9.44,94.0
Gold Coast SUNS,Round 5,85.89,-2.6,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,-42.95,49.0
Carlton,Round 6,85.89,-0.82,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-39.46,52.0
Port Adelaide,Round 7,85.89,-11.33,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,0.0,0.0
Essendon,Round 8,85.89,-0.71,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-8.02,79.0
Brisbane Lions,Round 9,85.89,-7.54,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,4.79,90.0
Richmond,Round 10,85.89,14.88,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,-19.66,69.0
Collingwood,Round 11,85.89,2.25,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,-27.81,62.0
West Coast Eagles,Round 13,85.89,9.23,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,-55.76,38.0
Fremantle,Round 14,85.89,-2.64,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-31.31,59.0
Carlton,Round 15,85.89,-0.82,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-39.46,52.0
Hawthorn,Round 16,85.89,-7.83,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,-59.25,35.0
Western Bulldogs,Round 17,85.89,-2.35,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-34.8,56.0
Melbourne,Round 18,85.89,7.38,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,0.0,0.0
Sydney Swans,Round 19,85.89,-0.59,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,9.44,94.0
Geelong Cats,Round 20,85.89,7.2,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,31.56,113.0
St Kilda,Round 21,85.89,-4.19,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,11.19,95.5
GWS GIANTS,Round 22,85.89,-2.27,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,-7.24,79.67
Richmond,Round 23,85.89,14.88,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,-19.66,69.0
Adelaide Crows,Round 24,85.89,1.61,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,-34.02,56.67
