,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
St Kilda,Round 1,106.3,-4.57,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,9.13,116.0
Essendon,Round 2,106.3,-1.9,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,14.14,121.33
North Melbourne,Round 3,106.3,-1.22,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,27.94,136.0
Gold Coast SUNS,Round 4,106.3,-1.41,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,-8.75,97.0
Geelong Cats,Round 5,106.3,8.09,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,10.07,117.0
GWS GIANTS,Round 6,106.3,-2.58,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,5.05,111.67
Fremantle,Round 7,106.3,-2.4,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-5.93,100.0
Carlton,Round 8,106.3,-0.6,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-43.56,60.0
Port Adelaide,Round 9,106.3,-8.48,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,24.81,132.67
Collingwood,Round 10,106.3,1.31,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,33.58,142.0
West Coast Eagles,Round 11,106.3,7.61,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,-1.22,105.0
Sydney Swans,Round 12,106.3,-0.42,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-11.88,93.67
Brisbane Lions,Round 13,106.3,-5.07,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,-28.81,75.67
Hawthorn,Round 14,106.3,-6.48,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,-3.1,103.0
Richmond,Round 16,106.3,12.01,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,0.0,0.0
Melbourne,Round 17,106.3,4.93,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,0.66,107.0
Western Bulldogs,Round 18,106.3,-2.29,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,5.67,112.33
Gold Coast SUNS,Round 19,106.3,-1.41,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,-8.75,97.0
Port Adelaide,Round 20,106.3,-8.48,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,24.81,132.67
Hawthorn,Round 21,106.3,-6.48,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,-3.1,103.0
West Coast Eagles,Round 22,106.3,7.61,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,-1.22,105.0
Collingwood,Round 23,106.3,1.31,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,33.58,142.0
North Melbourne,Round 24,106.3,-1.22,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,27.94,136.0
