,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
North Melbourne,Round 1,107.04,-1.19,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,2.77,110.0
Collingwood,Round 2,107.04,1.18,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,-13.89,92.17
Carlton,Round 3,107.04,-1.33,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,18.34,126.67
Fremantle,Round 4,107.04,-2.61,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,9.0,116.67
Brisbane Lions,Round 5,107.04,-4.17,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,5.57,113.0
St Kilda,Round 6,107.04,-4.24,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-16.23,89.67
GWS GIANTS,Round 7,107.04,-2.26,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,-13.42,92.67
Port Adelaide,Round 8,107.04,-7.14,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-2.53,104.33
Gold Coast SUNS,Round 9,107.04,-1.08,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,27.68,136.67
Essendon,Round 10,107.04,-2.25,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-3.47,103.33
Geelong Cats,Round 11,107.04,7.92,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,-15.92,90.0
Hawthorn,Round 13,107.04,-5.93,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,4.94,112.33
St Kilda,Round 14,107.04,-4.24,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-16.23,89.67
Richmond,Round 15,107.04,11.25,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,-12.18,94.0
Sydney Swans,Round 16,107.04,-0.91,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-26.82,78.33
North Melbourne,Round 17,107.04,-1.19,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,2.77,110.0
Adelaide Crows,Round 18,107.04,1.61,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,6.04,113.5
Brisbane Lions,Round 19,107.04,-4.17,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,5.57,113.0
Essendon,Round 20,107.04,-2.25,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-3.47,103.33
GWS GIANTS,Round 21,107.04,-2.26,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,-13.42,92.67
Melbourne,Round 22,107.04,3.92,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,17.71,126.0
West Coast Eagles,Round 23,107.04,8.02,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,-0.97,106.0
Fremantle,Round 24,107.04,-2.61,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,9.0,116.67
