,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Western Bulldogs,Round 1,75.18,-1.89,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,3.75,78.0
Melbourne,Round 2,75.18,4.54,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,0.0,0.0
Adelaide Crows,Round 3,75.18,1.28,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,0.0,0.0
Sydney Swans,Round 4,75.18,-1.04,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-16.2,63.0
Gold Coast SUNS,Round 5,75.18,-1.08,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,-12.21,66.0
Carlton,Round 6,75.18,-1.52,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,0.0,0.0
Port Adelaide,Round 7,75.18,-7.8,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-2.9,73.0
Essendon,Round 8,75.18,-1.81,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,13.06,85.0
Brisbane Lions,Round 9,75.18,-4.79,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,0.0,0.0
Richmond,Round 10,75.18,11.8,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,54.3,116.0
Collingwood,Round 11,75.18,1.48,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,-32.16,51.0
West Coast Eagles,Round 13,75.18,8.6,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,39.66,105.0
Fremantle,Round 14,75.18,-2.84,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,50.31,113.0
Carlton,Round 15,75.18,-1.52,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,0.0,0.0
Hawthorn,Round 16,75.18,-6.55,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,0.0,0.0
Western Bulldogs,Round 17,75.18,-1.89,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,3.75,78.0
Melbourne,Round 18,75.18,4.54,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,0.0,0.0
Sydney Swans,Round 19,75.18,-1.04,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-16.2,63.0
Geelong Cats,Round 20,75.18,7.68,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,62.28,122.0
St Kilda,Round 21,75.18,-3.99,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,0.0,0.0
GWS GIANTS,Round 22,75.18,-2.09,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,0.0,0.0
Richmond,Round 23,75.18,11.8,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,54.3,116.0
Adelaide Crows,Round 24,75.18,1.28,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,0.0,0.0
