,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
GWS GIANTS,Round 1,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-1.99,111.63,-19.33,88.29
North Melbourne,Round 2,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,3.69,105.52,-14.24,93.86
Gold Coast SUNS,Round 3,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,6.42,102.81,-17.9,89.86
Geelong Cats,Round 4,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-10.79,122.64,-20.9,86.57
Essendon,Round 5,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,8.36,100.97,-7.72,101.0
Fremantle,Round 6,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-5.8,116.15,0.44,109.93
Richmond,Round 7,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-3.92,113.88,15.12,126.0
West Coast Eagles,Round 8,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-13.09,125.89,-25.69,81.33
Hawthorn,Round 9,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-3.71,113.63,-0.02,109.43
Brisbane Lions,Round 10,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,7.26,102.0,-9.28,99.29
Sydney Swans,Round 11,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,2.93,106.3,-15.82,92.14
St Kilda,Round 12,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,3.32,105.9,10.82,121.29
Collingwood,Round 13,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,7.67,101.61,-3.02,106.14
Port Adelaide,Round 14,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-4.51,114.58,0.17,109.64
Gold Coast SUNS,Round 16,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,6.42,102.81,-17.9,89.86
Adelaide Crows,Round 17,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,4.96,104.24,1.42,111.0
North Melbourne,Round 18,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,3.69,105.52,-14.24,93.86
Carlton,Round 19,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,0.62,108.73,-5.77,103.14
St Kilda,Round 20,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,3.32,105.9,10.82,121.29
West Coast Eagles,Round 21,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-13.09,125.89,-25.69,81.33
Western Bulldogs,Round 22,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-5.0,115.17,14.6,125.43
Hawthorn,Round 23,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-3.71,113.63,-0.02,109.43
Collingwood,Round 24,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,7.67,101.61,-3.02,106.14
