,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Carlton,Round 1,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-3.17,103.86,2.62,103.14
Port Adelaide,Round 2,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-0.95,101.54,-12.09,88.36
St Kilda,Round 3,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,0.13,100.44,-3.06,97.43
Brisbane Lions,Round 4,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,4.41,96.32,-11.88,88.57
Fremantle,Round 5,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.89,108.01,15.74,116.33
Gold Coast SUNS,Round 6,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,4.17,96.54,-24.39,76.0
Melbourne,Round 7,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,12.14,89.68,-6.81,93.67
Hawthorn,Round 8,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-5.79,106.75,-5.48,95.0
West Coast Eagles,Round 9,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-10.49,112.35,-15.93,84.5
North Melbourne,Round 10,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,5.16,95.64,13.71,114.29
Essendon,Round 11,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,12.61,89.31,-3.92,96.57
GWS GIANTS,Round 12,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-2.49,103.14,7.02,107.57
Sydney Swans,Round 13,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,7.37,93.66,-9.6,90.86
Western Bulldogs,Round 15,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-5.2,106.08,-15.43,85.0
Adelaide Crows,Round 16,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,0.44,100.13,6.46,107.0
Geelong Cats,Round 17,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-11.3,113.38,29.01,129.67
Essendon,Round 18,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,12.61,89.31,-3.92,96.57
West Coast Eagles,Round 19,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-10.49,112.35,-15.93,84.5
Collingwood,Round 20,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,8.86,92.39,18.72,119.33
Gold Coast SUNS,Round 21,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,4.17,96.54,-24.39,76.0
St Kilda,Round 22,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,0.13,100.44,-3.06,97.43
North Melbourne,Round 23,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,5.16,95.64,13.71,114.29
Geelong Cats,Round 24,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-11.3,113.38,29.01,129.67
