,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Western Bulldogs,Round 1,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-4.32,112.67,4.19,112.33
Melbourne,Round 2,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,12.27,96.03,-20.54,85.67
Adelaide Crows,Round 3,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,0.12,107.68,-23.01,83.0
Sydney Swans,Round 4,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,8.08,99.75,-23.63,82.33
Gold Coast SUNS,Round 5,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,3.39,104.27,-31.36,74.0
Carlton,Round 6,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-4.07,112.39,-4.0,103.5
Port Adelaide,Round 7,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-0.74,108.62,11.31,120.0
Essendon,Round 8,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,14.09,94.5,-9.1,98.0
Brisbane Lions,Round 9,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,4.12,103.55,-12.5,94.33
Richmond,Round 10,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-0.61,108.47,9.45,118.0
Collingwood,Round 11,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,10.31,97.74,-0.75,107.0
West Coast Eagles,Round 13,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-10.03,119.83,5.74,114.0
Fremantle,Round 14,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-7.24,116.22,-3.53,104.0
Carlton,Round 15,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-4.07,112.39,-4.0,103.5
Hawthorn,Round 16,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-5.81,114.46,-10.03,97.0
Western Bulldogs,Round 17,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-4.32,112.67,4.19,112.33
Melbourne,Round 18,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,12.27,96.03,-20.54,85.67
Sydney Swans,Round 19,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,8.08,99.75,-23.63,82.33
Geelong Cats,Round 20,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-10.56,120.53,6.94,115.29
St Kilda,Round 21,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,-1.46,109.41,4.81,113.0
GWS GIANTS,Round 22,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-2.51,110.59,12.23,121.0
Richmond,Round 23,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-0.61,108.47,9.45,118.0
Adelaide Crows,Round 24,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,0.12,107.68,-23.01,83.0
