,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
St Kilda,Round 1,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,1.16,87.79,-1.64,87.43
Essendon,Round 2,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,13.37,78.33,0.28,89.14
North Melbourne,Round 3,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,5.7,84.02,19.33,106.07
Gold Coast SUNS,Round 4,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,6.04,83.75,-7.42,82.29
Geelong Cats,Round 5,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-12.94,102.01,30.17,115.71
GWS GIANTS,Round 6,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-1.42,90.09,-4.53,84.86
Fremantle,Round 7,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.91,95.4,-29.77,62.43
Carlton,Round 8,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-2.32,90.92,-5.5,84.0
Port Adelaide,Round 9,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-1.41,90.08,-4.61,84.79
Collingwood,Round 10,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,9.08,81.41,-1.97,87.14
West Coast Eagles,Round 11,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-11.03,99.82,-6.78,82.86
Sydney Swans,Round 12,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,8.72,81.69,-1.33,87.71
Brisbane Lions,Round 13,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,1.76,87.27,-0.03,88.86
Hawthorn,Round 14,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-5.26,93.74,1.89,90.57
Richmond,Round 16,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,0.94,87.99,-16.59,74.14
Melbourne,Round 17,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,13.4,78.32,-7.59,82.14
Western Bulldogs,Round 18,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-8.45,97.01,27.28,113.14
Gold Coast SUNS,Round 19,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,6.04,83.75,-7.42,82.29
Port Adelaide,Round 20,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-1.41,90.08,-4.61,84.79
Hawthorn,Round 21,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-5.26,93.74,1.89,90.57
West Coast Eagles,Round 22,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-11.03,99.82,-6.78,82.86
Collingwood,Round 23,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,9.08,81.41,-1.97,87.14
North Melbourne,Round 24,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,5.7,84.02,19.33,106.07
