,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Geelong Cats,Opening Round,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-11.61,96.46,-22.78,65.86
Sydney Swans,Round 1,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,6.45,80.09,28.3,109.43
West Coast Eagles,Round 2,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-11.95,96.83,8.7,92.71
Richmond,Round 4,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-0.04,85.29,-16.25,71.43
Western Bulldogs,Round 5,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-6.36,91.05,-3.69,82.14
Collingwood,Round 6,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,8.44,78.63,9.54,93.43
St Kilda,Round 7,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,1.3,84.17,-20.78,67.57
Gold Coast SUNS,Round 8,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,5.75,80.62,-16.0,71.64
North Melbourne,Round 9,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,3.82,82.13,-14.41,73.0
Melbourne,Round 10,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,12.03,76.1,-5.86,80.29
Hawthorn,Round 11,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-4.4,89.19,0.16,85.43
Essendon,Round 12,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,11.83,76.24,7.87,92.0
Adelaide Crows,Round 13,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,1.76,83.78,17.08,99.86
GWS GIANTS,Round 14,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-0.9,86.04,-0.5,84.86
Geelong Cats,Round 15,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-11.61,96.46,-22.78,65.86
Port Adelaide,Round 17,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-2.59,87.53,24.12,105.86
Carlton,Round 18,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-2.43,87.38,1.0,86.14
Western Bulldogs,Round 19,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-6.36,91.05,-3.69,82.14
Gold Coast SUNS,Round 20,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,5.75,80.62,-16.0,71.64
Collingwood,Round 21,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,8.44,78.63,9.54,93.43
Sydney Swans,Round 22,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,6.45,80.09,28.3,109.43
Fremantle,Round 23,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.19,90.89,-9.05,77.57
Hawthorn,Round 24,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-4.4,89.19,0.16,85.43
