,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Richmond,Round 1,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-1.53,81.52,0.27,80.5
Hawthorn,Round 2,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-4.23,83.83,-22.41,62.29
Western Bulldogs,Round 3,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-5.55,85.0,-15.66,67.71
Collingwood,Round 4,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,8.39,74.06,-29.8,56.36
West Coast Eagles,Round 5,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-11.72,90.93,14.77,92.14
North Melbourne,Round 6,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,5.3,76.24,-10.68,71.71
Geelong Cats,Round 7,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-11.85,91.07,17.8,94.57
Adelaide Crows,Round 8,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,1.51,79.08,-31.32,55.14
St Kilda,Round 9,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,1.97,78.73,-12.44,70.29
Sydney Swans,Round 10,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,5.1,76.38,-4.62,76.57
GWS GIANTS,Round 11,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-3.52,83.21,4.46,83.86
Essendon,Round 13,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,11.74,71.85,-6.04,75.43
West Coast Eagles,Round 14,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-11.72,90.93,14.77,92.14
North Melbourne,Round 15,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,5.3,76.24,-10.68,71.71
Port Adelaide,Round 16,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-3.84,83.49,12.99,90.71
Collingwood,Round 17,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,8.39,74.06,-29.8,56.36
Brisbane Lions,Round 18,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,6.65,75.27,-14.59,68.57
Melbourne,Round 19,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,13.71,70.6,-22.94,61.86
Hawthorn,Round 20,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-4.23,83.83,-22.41,62.29
Fremantle,Round 21,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.2,85.59,4.1,83.57
Gold Coast SUNS,Round 22,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,4.78,76.62,4.63,84.0
Port Adelaide,Round 23,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-3.84,83.49,12.99,90.71
Essendon,Round 24,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,11.74,71.85,-6.04,75.43
