,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
GWS GIANTS,Opening Round,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-2.08,96.17,35.2,127.29
Port Adelaide,Round 1,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-4.69,98.8,1.96,96.0
Western Bulldogs,Round 2,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-4.77,98.89,-2.89,91.43
Carlton,Round 4,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,0.4,93.79,-14.35,80.64
Sydney Swans,Round 5,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,3.17,91.28,-0.76,93.43
Brisbane Lions,Round 6,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,6.8,88.17,-14.12,80.86
Essendon,Round 7,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,9.29,86.16,-24.51,71.07
Geelong Cats,Round 8,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-10.41,105.11,27.0,119.57
Fremantle,Round 9,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.25,100.45,-2.89,91.43
Adelaide Crows,Round 10,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,4.55,90.07,-4.79,89.64
North Melbourne,Round 11,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,3.41,91.06,-5.16,89.29
Hawthorn,Round 12,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-3.98,98.08,11.52,105.0
Melbourne,Round 13,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,12.37,83.8,-12.83,82.07
St Kilda,Round 15,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,2.46,91.91,-13.21,81.71
West Coast Eagles,Round 16,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-12.78,107.97,7.13,100.86
Carlton,Round 17,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,0.4,93.79,-14.35,80.64
Gold Coast SUNS,Round 18,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,6.13,88.73,-5.4,89.07
Fremantle,Round 19,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.25,100.45,-2.89,91.43
Richmond,Round 20,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-3.99,98.09,-3.49,90.86
Brisbane Lions,Round 21,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,6.8,88.17,-14.12,80.86
Hawthorn,Round 22,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-3.98,98.08,11.52,105.0
Adelaide Crows,Round 23,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,4.55,90.07,-4.79,89.64
Melbourne,Round 24,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,12.37,83.8,-12.83,82.07
