,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Gold Coast SUNS,Opening Round,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,5.58,66.16,5.76,73.86
Hawthorn,Round 1,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-3.46,72.36,-8.98,63.57
Adelaide Crows,Round 2,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,3.43,67.53,-6.31,65.43
Port Adelaide,Round 3,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-4.59,73.21,-16.85,58.07
Melbourne,Round 5,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,13.28,61.66,13.73,79.43
West Coast Eagles,Round 6,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-12.46,79.79,8.82,76.0
Collingwood,Round 7,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,10.04,63.48,-2.94,67.79
North Melbourne,Round 8,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,2.9,67.88,-25.54,52.0
Sydney Swans,Round 9,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,4.3,66.97,-17.87,57.36
Western Bulldogs,Round 10,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-5.2,73.68,0.43,70.14
Richmond,Round 11,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-4.06,72.81,-7.35,64.71
Brisbane Lions,Round 12,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,6.85,65.37,-29.32,49.36
Carlton,Round 13,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,0.11,69.77,9.24,76.29
Geelong Cats,Round 14,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-10.61,78.14,-16.95,58.0
Fremantle,Round 15,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.74,74.9,-1.2,69.0
Gold Coast SUNS,Round 17,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,5.58,66.16,5.76,73.86
Richmond,Round 18,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-4.06,72.81,-7.35,64.71
GWS GIANTS,Round 19,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-2.92,71.95,12.92,78.86
Western Bulldogs,Round 20,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-5.2,73.68,0.43,70.14
Sydney Swans,Round 21,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,4.3,66.97,-17.87,57.36
Geelong Cats,Round 22,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-10.61,78.14,-16.95,58.0
St Kilda,Round 23,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,1.57,68.77,0.64,70.29
Carlton,Round 24,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,0.11,69.77,9.24,76.29
