,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Geelong Cats,Round 1,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-11.78,93.57,-42.18,47.71
Sydney Swans,Round 2,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,7.28,76.94,-3.22,79.86
West Coast Eagles,Round 3,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-11.95,93.74,9.15,90.07
Western Bulldogs,Round 4,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-6.06,87.87,17.55,97.0
Richmond,Round 5,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-2.7,84.83,-15.52,69.71
Melbourne,Round 6,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,12.95,73.08,-18.81,67.0
Adelaide Crows,Round 7,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,2.57,80.47,4.39,86.14
St Kilda,Round 8,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,0.73,81.94,27.68,105.36
Collingwood,Round 9,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,9.34,75.49,6.29,87.71
GWS GIANTS,Round 10,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-2.43,84.59,-20.27,65.79
Port Adelaide,Round 11,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-2.0,84.22,-9.8,74.43
Gold Coast SUNS,Round 12,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,5.21,78.45,29.31,106.71
North Melbourne,Round 14,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,2.06,80.87,17.55,97.0
Essendon,Round 15,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,11.76,73.86,-9.97,74.29
St Kilda,Round 16,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,0.73,81.94,27.68,105.36
Sydney Swans,Round 17,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,7.28,76.94,-3.22,79.86
Hawthorn,Round 18,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-3.37,85.42,17.55,97.0
Collingwood,Round 19,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,9.34,75.49,6.29,87.71
West Coast Eagles,Round 20,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-11.95,93.74,9.15,90.07
Carlton,Round 21,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-1.59,83.88,22.56,101.14
Port Adelaide,Round 22,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-2.0,84.22,-9.8,74.43
Brisbane Lions,Round 23,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,5.09,78.54,16.34,96.0
Western Bulldogs,Round 24,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-6.06,87.87,17.55,97.0
