,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Collingwood,Opening Round,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,8.95,81.86,-26.3,65.71
Melbourne,Round 1,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,12.41,79.34,-4.82,84.86
Hawthorn,Round 3,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-5.56,94.43,1.42,90.43
West Coast Eagles,Round 4,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-10.7,99.86,23.37,110.0
St Kilda,Round 5,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,0.5,88.73,-16.52,74.43
Adelaide Crows,Round 6,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,-0.26,89.41,0.94,90.0
Western Bulldogs,Round 7,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-5.46,94.33,-8.92,81.21
Sydney Swans,Round 8,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,6.99,83.35,-7.63,82.36
Geelong Cats,Round 9,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-11.47,100.74,27.7,113.86
Fremantle,Round 10,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-7.01,95.9,8.87,97.07
Carlton,Round 11,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-3.24,92.17,17.53,104.79
Richmond,Round 12,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,0.51,88.73,33.47,119.0
Port Adelaide,Round 13,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-1.84,90.85,-8.67,81.43
Brisbane Lions,Round 14,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,4.5,85.34,-20.85,70.57
Gold Coast SUNS,Round 15,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,4.13,85.64,-8.67,81.43
West Coast Eagles,Round 17,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-10.7,99.86,23.37,110.0
Geelong Cats,Round 18,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-11.47,100.74,27.7,113.86
Essendon,Round 19,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,13.31,78.7,-7.23,82.71
Sydney Swans,Round 20,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,6.99,83.35,-7.63,82.36
Western Bulldogs,Round 21,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-5.46,94.33,-8.92,81.21
North Melbourne,Round 22,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,5.83,84.26,-31.26,61.29
Gold Coast SUNS,Round 23,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,4.13,85.64,-8.67,81.43
St Kilda,Round 24,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,0.5,88.73,-16.52,74.43
