,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Brisbane Lions,Opening Round,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,5.77,68.7,-2.15,71.14
Fremantle,Round 1,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.78,77.94,-7.65,67.14
St Kilda,Round 2,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,0.86,72.04,-19.04,58.86
Melbourne,Round 4,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,12.83,64.4,-31.03,50.14
Adelaide Crows,Round 5,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,2.14,71.14,7.88,78.43
Hawthorn,Round 6,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-4.79,76.32,0.41,73.0
Carlton,Round 7,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-1.41,73.7,-17.87,59.71
Collingwood,Round 8,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,9.55,66.33,0.61,73.14
GWS GIANTS,Round 9,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-2.85,74.79,0.22,72.86
Port Adelaide,Round 10,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-2.87,74.81,-42.42,41.86
Western Bulldogs,Round 11,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-4.92,76.42,0.12,72.79
West Coast Eagles,Round 12,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-11.45,82.06,34.11,97.5
Gold Coast SUNS,Round 13,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,4.79,69.34,2.57,74.57
Essendon,Round 14,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,11.57,65.12,12.6,81.86
Brisbane Lions,Round 15,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,5.77,68.7,-2.15,71.14
Richmond,Round 17,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-2.62,74.61,-7.25,67.43
GWS GIANTS,Round 18,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-2.85,74.79,0.22,72.86
St Kilda,Round 19,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,0.86,72.04,-19.04,58.86
North Melbourne,Round 20,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,4.06,69.82,14.66,83.36
Port Adelaide,Round 21,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-2.87,74.81,-42.42,41.86
Essendon,Round 22,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,11.57,65.12,12.6,81.86
Sydney Swans,Round 23,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,5.59,68.81,-13.93,62.57
Richmond,Round 24,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-2.62,74.61,-7.25,67.43
