,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Essendon,Opening Round,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,11.92,78.41,-9.02,79.86
West Coast Eagles,Round 1,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-11.73,99.41,35.65,119.07
Melbourne,Round 3,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,12.6,77.93,-7.88,80.86
Adelaide Crows,Round 4,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,2.11,85.93,1.06,88.71
North Melbourne,Round 5,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,3.27,84.97,0.58,88.29
Richmond,Round 6,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-1.7,89.27,8.71,95.43
Sydney Swans,Round 7,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,6.28,82.57,27.75,112.14
Brisbane Lions,Round 8,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,4.59,83.9,-24.0,66.71
Western Bulldogs,Round 9,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-5.55,92.91,5.79,92.86
Hawthorn,Round 10,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-4.38,91.77,1.88,89.43
St Kilda,Round 11,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,0.74,87.11,-9.51,79.43
Fremantle,Round 12,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.51,93.86,-19.45,70.71
Geelong Cats,Round 13,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-11.19,98.8,-3.01,85.14
GWS GIANTS,Round 15,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-1.92,89.47,-2.03,86.0
Melbourne,Round 16,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,12.6,77.93,-7.88,80.86
Essendon,Round 17,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,11.92,78.41,-9.02,79.86
Collingwood,Round 18,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,9.49,80.14,-6.92,81.71
Adelaide Crows,Round 19,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,2.11,85.93,1.06,88.71
Brisbane Lions,Round 20,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,4.59,83.9,-24.0,66.71
Richmond,Round 21,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-1.7,89.27,8.71,95.43
Carlton,Round 22,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-1.9,89.45,-20.75,69.57
GWS GIANTS,Round 23,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-1.92,89.47,-2.03,86.0
Port Adelaide,Round 24,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-2.69,90.17,7.74,94.57
