,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Sydney Swans,Opening Round,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,8.39,75.24,-29.73,57.29
Essendon,Round 1,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,13.6,71.79,-15.37,69.0
Carlton,Round 2,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-1.95,83.18,-18.88,66.14
GWS GIANTS,Round 3,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-2.59,83.73,-11.33,72.29
Port Adelaide,Round 5,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-1.92,83.15,10.56,90.14
Geelong Cats,Round 6,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-12.43,93.14,-16.6,68.0
West Coast Eagles,Round 7,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-11.14,91.79,12.49,91.71
Richmond,Round 8,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-1.17,82.53,-7.75,75.21
Melbourne,Round 9,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,14.08,71.49,-35.35,52.71
Gold Coast SUNS,Round 10,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,5.35,77.42,-39.03,49.71
Brisbane Lions,Round 11,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,3.51,78.79,-16.77,67.86
Collingwood,Round 12,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,10.0,74.15,-4.16,78.14
Western Bulldogs,Round 13,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-7.49,88.16,29.31,105.43
Adelaide Crows,Round 14,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,0.59,81.08,-8.71,74.43
North Melbourne,Round 16,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,4.0,78.43,-17.21,67.5
St Kilda,Round 17,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,0.49,81.17,25.46,102.29
Fremantle,Round 18,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.89,87.59,-1.01,80.71
Port Adelaide,Round 19,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-1.92,83.15,10.56,90.14
Carlton,Round 20,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-1.95,83.18,-18.88,66.14
Adelaide Crows,Round 21,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,0.59,81.08,-8.71,74.43
Collingwood,Round 22,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,10.0,74.15,-4.16,78.14
Melbourne,Round 23,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,14.08,71.49,-35.35,52.71
Brisbane Lions,Round 24,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,3.51,78.79,-16.77,67.86
