,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Collingwood,Round 1,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,11.29,68.79,-22.59,59.29
Richmond,Round 2,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-0.87,77.23,-5.07,72.71
Essendon,Round 3,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,14.71,66.74,-31.73,52.29
St Kilda,Round 4,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,-0.67,77.07,-0.59,76.14
Hawthorn,Round 5,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-5.16,80.73,-17.18,63.43
Sydney Swans,Round 6,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,8.82,70.35,-20.73,60.71
North Melbourne,Round 7,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,3.95,73.65,-20.92,60.57
Western Bulldogs,Round 8,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-6.9,82.23,-10.47,68.57
Adelaide Crows,Round 9,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,-0.1,76.64,0.72,77.14
Geelong Cats,Round 10,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-11.56,86.57,-9.82,69.07
Fremantle,Round 11,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-7.73,82.97,7.81,82.57
GWS GIANTS,Round 13,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-2.28,78.34,-34.34,50.29
Melbourne,Round 14,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,13.52,67.44,4.18,79.79
Sydney Swans,Round 15,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,8.82,70.35,-20.73,60.71
Carlton,Round 16,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-2.45,78.48,3.15,79.0
Brisbane Lions,Round 17,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,2.7,74.55,-12.34,67.14
West Coast Eagles,Round 18,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-10.57,85.61,15.08,88.14
Hawthorn,Round 19,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-5.16,80.73,-17.18,63.43
Adelaide Crows,Round 20,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,-0.1,76.64,0.72,77.14
Geelong Cats,Round 21,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-11.56,86.57,-9.82,69.07
Fremantle,Round 22,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-7.73,82.97,7.81,82.57
Carlton,Round 23,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-2.45,78.48,3.15,79.0
Gold Coast SUNS,Round 24,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,4.89,72.99,-3.76,73.71
