,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Adelaide Crows,Round 1,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,4.67,110.98,9.71,127.43
Geelong Cats,Round 2,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-9.24,127.98,8.11,125.57
Richmond,Round 3,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-4.42,121.53,4.79,121.71
Port Adelaide,Round 4,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-5.25,122.6,-5.42,109.86
GWS GIANTS,Round 5,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-2.81,119.51,5.78,122.86
Western Bulldogs,Round 6,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-2.48,119.11,-37.52,72.57
Brisbane Lions,Round 7,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,8.52,107.04,-1.97,113.86
Fremantle,Round 8,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.54,124.29,8.23,125.71
Carlton,Round 9,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,0.35,115.75,-6.77,108.29
West Coast Eagles,Round 10,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-12.72,133.08,-2.1,113.71
Gold Coast SUNS,Round 11,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,5.03,110.6,-8.74,106.0
Melbourne,Round 12,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,11.66,104.03,-23.75,88.57
Western Bulldogs,Round 14,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-2.48,119.11,-37.52,72.57
Collingwood,Round 15,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,9.17,106.4,-11.44,102.86
Fremantle,Round 16,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.54,124.29,8.23,125.71
Hawthorn,Round 17,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-4.51,121.64,20.22,139.64
Sydney Swans,Round 18,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,1.66,114.27,-5.17,110.14
Geelong Cats,Round 19,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-9.24,127.98,8.11,125.57
Melbourne,Round 20,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,11.66,104.03,-23.75,88.57
North Melbourne,Round 21,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,3.86,111.85,-10.21,104.29
Richmond,Round 22,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-4.42,121.53,4.79,121.71
Essendon,Round 23,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,8.88,106.69,-6.65,108.43
GWS GIANTS,Round 24,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-2.81,119.51,5.78,122.86
