,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Hawthorn,Opening Round,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-5.23,98.11,-18.4,75.86
Brisbane Lions,Round 1,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,5.31,88.29,-22.09,72.43
Fremantle,Round 2,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.58,99.53,-21.48,73.0
North Melbourne,Round 4,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,5.36,88.25,0.42,93.36
Collingwood,Round 5,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,8.94,85.35,-31.77,63.43
Port Adelaide,Round 6,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-1.47,94.37,-14.88,79.14
Gold Coast SUNS,Round 7,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,3.78,89.6,16.32,108.14
GWS GIANTS,Round 8,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-3.78,96.64,21.54,113.0
Essendon,Round 9,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,13.33,82.05,-26.63,68.21
Carlton,Round 10,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-3.19,96.04,-23.78,70.86
Melbourne,Round 11,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,13.82,81.69,-0.89,92.14
Adelaide Crows,Round 12,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,0.03,92.95,4.49,97.14
Richmond,Round 13,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-0.8,93.73,-3.96,89.29
Port Adelaide,Round 15,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-1.47,94.37,-14.88,79.14
Western Bulldogs,Round 16,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-5.58,98.48,-0.73,92.29
Fremantle,Round 17,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.58,99.53,-21.48,73.0
St Kilda,Round 18,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,0.2,92.79,-11.57,82.21
North Melbourne,Round 19,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,5.36,88.25,0.42,93.36
GWS GIANTS,Round 20,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-3.78,96.64,21.54,113.0
Essendon,Round 21,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,13.33,82.05,-26.63,68.21
Brisbane Lions,Round 22,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,5.31,88.29,-22.09,72.43
Geelong Cats,Round 23,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-12.1,105.78,-3.96,89.29
West Coast Eagles,Round 24,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-10.32,103.68,2.03,94.86
