,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Gold Coast SUNS,Round 1,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,4.71,64.52,-12.89,58.86
Brisbane Lions,Round 2,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,5.26,64.18,14.59,77.43
Fremantle,Round 3,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.61,72.34,4.34,70.5
GWS GIANTS,Round 4,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-2.75,69.47,-28.76,48.14
Carlton,Round 5,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-2.24,69.11,17.34,79.29
Essendon,Round 6,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,12.33,60.14,-4.85,64.29
Hawthorn,Round 7,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-4.87,71.02,-11.84,59.57
Melbourne,Round 8,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,13.04,59.76,-5.71,63.71
Richmond,Round 9,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-1.0,68.24,-2.63,65.79
St Kilda,Round 10,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,1.02,66.88,30.66,88.29
Adelaide Crows,Round 11,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,1.11,66.82,-15.44,57.14
Geelong Cats,Round 12,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-11.46,76.3,5.18,71.07
North Melbourne,Round 13,11.35,-1.01,-0.03,-0.38,-2.07,-11.71,-44.77,52.79,8.79,4.95,64.37,2.75,69.43
Carlton,Round 14,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-2.24,69.11,17.34,79.29
Collingwood,Round 16,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,8.96,62.0,5.08,71.0
GWS GIANTS,Round 17,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-2.75,69.47,-28.76,48.14
Port Adelaide,Round 18,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-2.87,69.56,8.67,73.43
Richmond,Round 19,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-1.0,68.24,-2.63,65.79
Fremantle,Round 20,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-6.61,72.34,4.34,70.5
Melbourne,Round 21,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,13.04,59.76,-5.71,63.71
Adelaide Crows,Round 22,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,1.11,66.82,-15.44,57.14
Western Bulldogs,Round 23,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-5.51,71.5,-2.12,66.14
Sydney Swans,Round 24,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,6.03,63.72,20.51,81.43
