playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,hitouts W Mean,hitouts FP,hitouts Scalar,extendedStats.hitoutsToAdvantage W Mean,extendedStats.hitoutsToAdvantage Scalar,intercepts W Mean,intercepts Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,marksInside50 W Mean,marksInside50 Scalar,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Andrew Phillips,5.36,16.08,-18.8,3.04,6.08,-52.47,2.46,7.38,-11.42,3.32,13.28,4.5,1.0,1.0,-23.84,1.5,-4.5,11.52,0.11,0.66,-77.64,0.43,0.43,29.52,8.39,-35.45,3.14,-46.51,5.64,-20.88,0.64,-5.19,1.83,-12.94,2.79,-7.71,25.07,25.07,26.94,7.25,31.65,1.36,-30.43,0.43,-32.28,0.54,-0.0,0.17,22.3,65.46,3.09,-11.48,65.48
Bailey J. Williams,6.49,19.47,-1.68,5.47,10.94,-14.48,1.95,5.85,-29.78,2.93,11.72,-7.77,1.4,1.4,6.63,1.25,-3.75,-7.06,0.16,0.96,-67.48,0.23,0.23,-30.72,11.96,-7.98,4.13,-29.64,8.3,16.44,0.74,9.63,1.2,-42.91,4.22,39.6,22.6,22.6,14.43,5.09,-7.57,1.89,-3.32,0.67,5.51,0.22,-59.26,0.1,-28.06,69.42,-0.47,-6.12,69.42
Ben McEvoy,5.0,15.0,-24.25,5.0,10.0,-21.83,2.0,6.0,-27.98,4.75,19.0,49.51,2.5,2.5,90.4,0.5,-1.5,-62.83,1.25,7.5,154.07,0.0,0.0,-100.0,10.0,-23.06,5.0,-14.82,6.25,-12.32,1.0,48.15,1.0,-52.43,2.25,-25.57,26.75,26.75,35.44,7.75,40.73,2.0,2.3,0.5,-21.26,1.0,85.19,0.25,79.86,85.25,-0.0,15.29,85.25
Ben Miller,7.0,21.0,6.04,7.0,14.0,9.44,5.0,15.0,80.05,2.0,8.0,-37.05,1.0,1.0,-23.84,0.5,-1.5,-62.83,0.5,3.0,1.63,0.0,0.0,-100.0,14.0,7.72,10.0,70.36,4.5,-36.87,1.0,48.15,4.0,90.29,2.0,-33.84,17.5,17.5,-11.39,7.0,27.11,2.5,27.88,1.5,136.22,0.5,-7.41,0.0,-100.0,78.0,-0.0,5.48,78.0
Billy Frampton,7.0,21.0,6.04,4.25,8.5,-33.55,2.5,7.5,-9.97,1.5,6.0,-52.79,0.5,0.5,-61.92,0.75,-2.25,-44.24,0.75,4.5,52.44,0.5,0.5,50.6,11.25,-13.44,6.0,2.21,5.5,-22.84,1.0,48.15,1.5,-28.64,2.0,-33.84,28.25,28.25,43.04,6.25,13.49,2.0,2.3,1.25,96.85,0.5,-7.41,0.0,-100.0,74.5,-0.0,0.75,74.5
Braydon Preuss,9.22,27.66,39.68,4.44,8.88,-30.58,4.56,13.68,64.21,2.78,11.12,-12.5,2.22,2.22,69.08,2.33,-6.99,73.23,0.22,1.32,-55.28,0.89,0.89,168.07,13.67,5.18,4.22,-28.11,9.44,32.44,2.33,245.19,2.22,5.61,3.56,17.76,34.78,34.78,76.1,12.0,117.9,3.0,53.45,1.78,180.31,0.22,-59.26,0.11,-20.86,93.56,-0.0,26.52,93.56
Brodie Grundy,7.29,21.87,10.44,11.01,22.02,72.14,2.39,7.17,-13.94,4.75,19.0,49.51,2.11,2.11,60.7,2.13,-6.39,58.36,0.08,0.48,-83.74,0.11,0.11,-66.87,18.3,40.8,6.61,12.61,11.9,66.95,0.62,-8.15,1.78,-15.32,5.0,65.4,31.28,31.28,58.38,9.49,72.33,2.71,38.62,0.68,7.09,0.14,-74.07,0.09,-35.25,97.65,0.2,32.06,97.65
Brynn Teakle,4.0,12.0,-39.4,6.5,13.0,1.63,1.21,3.63,-56.43,4.14,16.56,30.31,1.36,1.36,3.58,2.14,-6.42,59.11,0.21,1.26,-57.32,0.43,0.43,29.52,10.5,-19.21,4.36,-25.72,5.93,-16.81,0.36,-46.67,0.86,-59.09,1.93,-36.16,20.5,20.5,3.8,6.29,14.22,1.64,-16.11,0.43,-32.28,0.0,-100.0,0.0,-100.0,62.36,-12.63,-15.67,62.32
Callum Coleman-Jones,5.5,16.5,-16.68,7.5,15.0,17.26,3.5,10.5,26.04,3.5,14.0,10.17,2.0,2.0,52.32,1.5,-4.5,11.52,0.0,0.0,-100.0,0.5,0.5,50.6,13.0,0.02,6.5,10.73,6.0,-15.82,0.5,-25.93,3.0,42.72,2.5,-17.3,9.5,9.5,-51.9,2.5,-54.6,1.0,-48.85,0.5,-21.26,0.5,-7.41,0.5,259.71,63.5,-0.0,-14.13,63.5
Callum Jamieson,3.0,9.0,-54.55,4.0,8.0,-37.46,1.5,4.5,-45.98,2.5,10.0,-21.31,0.5,0.5,-61.92,2.0,-6.0,48.7,0.0,0.0,-100.0,0.0,0.0,-100.0,7.0,-46.14,5.0,-14.82,2.5,-64.93,0.0,-100.0,1.5,-28.64,0.0,-100.0,8.5,8.5,-56.96,3.0,-45.52,1.5,-23.27,1.0,57.48,0.5,-7.41,0.0,-100.0,34.5,-0.0,-53.34,34.5
