team.name,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,hitouts W Mean,hitouts FP,hitouts Scalar,extendedStats.hitoutsToAdvantage W Mean,extendedStats.hitoutsToAdvantage Scalar,intercepts W Mean,intercepts Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,marksInside50 W Mean,marksInside50 Scalar,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Adelaide Crows,6.13,18.39,-19.03,5.49,10.98,-22.01,2.48,7.44,-17.03,3.55,14.2,-3.95,1.01,1.01,-35.42,1.32,-3.96,-15.22,0.14,0.84,-61.22,0.14,0.14,-48.72,11.63,-20.42,4.66,-17.61,6.19,-30.88,0.73,-16.95,1.76,-16.71,3.05,-28.39,39.77,39.77,35.84,11.31,38.01,2.22,-9.54,1.0,3.31,0.23,-45.75,0.08,-44.83,88.89,-0.07,-0.3,88.81
Brisbane Lions,7.02,21.06,-7.28,5.88,11.76,-16.47,1.87,5.61,-37.44,3.15,12.6,-14.77,1.61,1.61,2.94,0.84,-2.52,-46.05,0.38,2.28,5.26,0.19,0.19,-30.4,12.91,-11.66,3.16,-44.13,10.26,14.57,0.84,-4.44,1.03,-51.25,5.48,28.67,32.67,32.67,11.59,7.81,-4.7,1.96,-20.13,0.64,-33.88,0.51,20.28,0.08,-44.83,85.29,3.24,-4.33,85.26
Carlton,7.75,23.25,2.36,7.61,15.22,8.11,2.06,6.18,-31.08,2.81,11.24,-23.97,1.64,1.64,4.86,1.64,-4.92,5.33,0.2,1.2,-44.6,0.34,0.34,24.54,15.37,5.17,5.14,-9.12,10.37,15.8,0.62,-29.47,1.44,-31.85,5.71,34.07,26.13,26.13,-10.75,8.3,1.28,2.03,-17.28,0.63,-34.92,0.11,-74.06,0.06,-58.62,80.28,11.41,-9.95,80.28
Collingwood,9.58,28.74,26.54,5.68,11.36,-19.31,4.44,13.32,48.54,2.77,11.08,-25.05,2.05,2.05,31.07,1.37,-4.11,-12.01,0.52,3.12,44.04,0.21,0.21,-23.08,15.27,4.49,5.19,-8.24,9.81,9.55,1.8,104.78,2.64,24.94,3.62,-15.0,28.4,28.4,-3.0,7.65,-6.65,4.2,71.15,2.18,125.21,0.62,46.23,0.28,93.1,94.15,5.05,5.6,94.17
Essendon,6.39,19.17,-15.6,5.43,10.86,-22.86,2.6,7.8,-13.01,2.39,9.56,-35.34,1.49,1.49,-4.73,1.49,-4.47,-4.3,0.48,2.88,32.96,0.43,0.43,57.51,11.82,-19.12,4.72,-16.55,6.66,-25.63,0.91,3.53,1.69,-20.02,3.33,-21.81,22.13,22.13,-24.41,6.67,-18.61,1.47,-40.1,0.57,-41.12,0.43,1.42,0.27,86.21,69.84,4.57,-21.66,69.85
Fremantle,5.24,15.72,-30.79,9.74,19.48,38.37,1.91,5.73,-36.1,2.97,11.88,-19.64,1.27,1.27,-18.8,1.4,-4.2,-10.08,0.55,3.3,52.35,0.31,0.31,13.55,14.98,2.5,6.23,10.15,9.26,3.41,0.81,-7.85,1.1,-47.94,4.42,3.78,29.05,29.05,-0.78,8.46,3.23,2.1,-14.43,0.6,-38.02,0.49,15.57,0.09,-37.93,82.52,-4.62,-7.44,82.54
GWS GIANTS,7.94,23.82,4.87,6.66,13.32,-5.38,2.01,6.03,-32.75,4.58,18.32,23.92,1.17,1.17,-25.19,1.62,-4.86,4.05,0.11,0.66,-69.53,0.49,0.49,79.49,14.6,-0.1,4.11,-27.33,9.75,8.88,0.42,-52.22,1.59,-24.75,5.88,38.06,30.23,30.23,3.25,8.52,3.97,2.03,-17.28,0.83,-14.26,0.23,-45.75,0.05,-65.52,89.16,5.73,0.01,89.18
Geelong Cats,6.33,18.99,-16.39,5.78,11.56,-17.89,2.71,8.13,-9.33,3.18,12.72,-13.96,1.29,1.29,-17.52,1.46,-4.38,-6.23,0.28,1.68,-22.44,0.18,0.18,-34.07,12.11,-17.13,5.64,-0.28,6.78,-24.29,0.66,-24.91,2.05,-2.98,2.82,-33.79,22.49,22.49,-23.18,5.88,-28.25,1.98,-19.32,0.72,-25.62,0.48,13.21,0.14,-3.45,72.7,0.88,-18.46,72.66
Gold Coast SUNS,7.1,21.3,-6.22,7.0,14.0,-0.55,2.44,7.32,-18.37,3.63,14.52,-1.79,1.57,1.57,0.38,1.44,-4.32,-7.51,0.46,2.76,27.42,0.12,0.12,-56.04,14.1,-3.52,4.98,-11.95,9.14,2.07,0.68,-22.64,1.76,-16.71,4.17,-2.09,30.48,30.48,4.11,8.48,3.48,1.96,-20.13,0.54,-44.21,0.24,-43.4,0.13,-10.34,87.78,-0.93,-1.54,87.75
Hawthorn,5.13,15.39,-32.24,7.6,15.2,7.97,2.04,6.12,-31.75,3.36,13.44,-9.09,1.33,1.33,-14.96,1.75,-5.25,12.4,0.34,2.04,-5.82,0.26,0.26,-4.76,12.72,-12.96,5.43,-4.0,7.57,-15.47,0.61,-30.6,1.43,-32.32,3.11,-26.98,33.03,33.03,12.82,9.66,17.88,2.0,-18.5,0.59,-39.05,0.27,-36.32,0.14,-3.45,81.53,12.85,-8.55,81.56
Melbourne,10.63,31.89,40.4,7.61,15.22,8.11,5.06,15.18,69.29,2.71,10.84,-26.68,2.13,2.13,36.19,1.15,-3.45,-26.14,0.51,3.06,41.27,0.42,0.42,53.85,18.25,24.88,7.05,24.65,11.43,27.64,1.99,126.39,3.08,45.76,4.62,8.48,30.81,30.81,5.23,8.73,6.53,3.72,51.59,1.82,88.02,0.65,53.3,0.46,217.24,106.11,4.96,19.02,106.1
North Melbourne,7.82,23.46,3.29,9.35,18.7,32.83,2.72,8.16,-9.0,6.69,26.76,81.01,2.24,2.24,43.22,2.34,-7.02,50.29,0.34,2.04,-5.82,0.13,0.13,-52.38,17.17,17.49,5.28,-6.65,11.93,33.22,0.85,-3.3,1.87,-11.5,6.12,43.7,33.81,33.81,15.48,8.79,7.26,2.65,7.99,1.05,8.47,0.36,-15.09,0.05,-65.52,108.24,22.08,21.41,108.28
