opponent,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints,uncontestedPossessions W Mean,uncontestedPossessions,contestedPossessions W Mean,contestedPossessions,marks W Mean,marks,contestedMarks W Mean,contestedMarks,uncontestedMarks W Mean,uncontestedMarks,kicks W Mean,kicks,handballs W Mean,handballs,disposals W Mean,disposals,tackles W Mean,tackles,clearances.totalClearances W Mean,clearances.totalClearances,goals W Mean,goals,behinds W Mean,behinds,freesFor W Mean,freesFor,freesAgainst W Mean,freesAgainst,hitouts W Mean,hitouts,extendedStats.hitoutsToAdvantage W Mean,extendedStats.hitoutsToAdvantage,intercepts W Mean,intercepts,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks,marksInside50 W Mean,marksInside50,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead
Adelaide Crows,87.54,6.11,-1.23,4.91,-12.65,8.62,-3.24,2.37,-20.5,1.03,17.45,1.34,-36.31,7.07,-6.1,6.5,-7.13,13.57,-6.59,4.04,10.05,4.0,-5.48,0.15,-57.98,0.39,43.38,1.38,-11.31,1.17,-24.9,30.83,5.92,8.26,1.44,1.85,-24.34,0.64,-33.68,0.31,-26.37,0.2,37.93
Brisbane Lions,84.19,5.36,-5.01,4.54,-19.23,7.3,-18.06,2.67,-10.43,0.75,-14.48,1.92,-8.75,6.25,-16.99,5.91,-15.56,12.16,-16.3,3.9,6.24,3.41,-19.42,0.32,-10.36,0.06,-77.94,1.07,-31.23,1.73,11.04,32.16,10.49,7.77,-4.58,2.22,-9.2,0.94,-2.59,0.27,-35.87,0.17,17.24
Carlton,90.37,7.1,1.97,5.45,-3.04,9.23,3.6,2.42,-18.82,0.59,-32.73,1.83,-13.02,7.52,-0.12,7.32,4.59,14.84,2.15,4.57,24.49,4.88,15.31,0.26,-27.17,0.18,-33.82,2.03,30.46,1.97,26.44,29.75,2.21,7.4,-9.12,2.42,-1.02,0.7,-27.46,0.51,21.14,0.04,-72.41
Collingwood,81.4,2.71,-8.16,5.43,-3.4,8.96,0.57,2.76,-7.41,0.75,-14.48,2.02,-3.99,7.42,-1.45,7.08,1.16,14.5,-0.19,3.17,-13.65,4.42,4.44,0.2,-43.98,0.3,10.29,1.76,13.11,2.02,29.65,26.85,-7.75,8.08,-0.77,2.36,-3.48,0.88,-8.81,0.18,-57.24,0.09,-37.93
Essendon,79.32,5.05,-10.5,5.7,1.41,8.87,-0.44,3.2,7.35,0.75,-14.48,2.45,16.44,7.35,-2.38,6.84,-2.27,14.19,-2.33,2.92,-20.46,4.26,0.66,0.37,3.64,0.15,-44.85,1.21,-22.24,1.93,23.88,24.5,-15.83,7.07,-13.18,2.41,-1.43,1.02,5.7,0.41,-2.61,0.09,-37.93
Fremantle,95.48,21.63,7.73,5.72,1.76,9.2,3.27,3.27,9.69,1.16,32.27,2.11,0.29,7.76,3.07,6.89,-1.56,14.66,0.91,4.22,14.96,3.83,-9.5,0.39,9.24,0.44,61.76,1.46,-6.17,1.34,-13.99,31.46,8.08,8.51,4.51,2.83,15.75,1.14,18.13,0.52,23.52,0.08,-44.83
GWS GIANTS,89.14,2.53,0.58,5.66,0.69,9.4,5.51,3.03,1.64,0.87,-0.8,2.16,2.66,7.65,1.61,7.54,7.73,15.18,4.49,3.37,-8.2,4.39,3.73,0.27,-24.37,0.36,32.35,1.41,-9.38,0.87,-44.16,27.75,-4.66,7.29,-10.48,2.6,6.34,1.08,11.92,0.55,30.64,0.05,-65.52
Geelong Cats,97.52,9.96,10.03,6.38,13.5,9.93,11.46,3.14,5.33,0.87,-0.8,2.28,8.37,8.02,6.52,8.12,16.02,16.14,11.1,3.53,-3.84,4.52,6.81,0.24,-32.77,0.22,-19.12,1.32,-15.17,1.48,-5.01,35.13,20.69,10.08,23.79,2.39,-2.25,1.04,7.77,0.26,-38.24,0.13,-10.34
Gold Coast SUNS,84.69,11.75,-4.44,4.91,-12.65,9.34,4.84,2.62,-12.11,0.95,8.32,1.66,-21.1,7.33,-2.64,7.0,0.01,14.33,-1.36,3.94,7.33,4.97,17.44,0.3,-15.97,0.25,-8.09,1.45,-6.81,1.38,-11.42,25.74,-11.57,7.22,-11.33,2.65,8.38,1.02,5.7,0.37,-12.11,0.17,17.24
Hawthorn,93.63,5.44,5.64,5.6,-0.37,9.38,5.29,3.25,9.02,0.85,-3.08,2.4,14.07,7.87,4.53,7.03,0.44,14.9,2.56,4.42,20.4,4.75,12.24,0.24,-32.77,0.18,-33.82,1.55,-0.39,1.73,11.04,30.53,4.89,9.05,11.14,2.5,2.25,0.95,-1.55,0.36,-14.49,0.2,37.93
Melbourne,79.95,1.02,-9.79,5.63,0.16,7.81,-12.34,2.82,-5.4,0.94,7.18,1.88,-10.65,7.04,-6.49,6.38,-8.84,13.42,-7.63,3.79,3.24,4.12,-2.65,0.37,3.64,0.33,21.32,1.23,-20.95,2.15,38.0,25.09,-13.8,7.58,-6.91,2.43,-0.61,1.09,12.95,0.45,6.89,0.08,-44.83
North Melbourne,85.7,4.94,-3.3,6.13,9.06,7.78,-12.67,2.99,0.3,0.87,-0.8,2.13,1.24,6.79,-9.82,7.12,1.73,13.9,-4.32,3.72,1.33,3.49,-17.53,0.65,82.07,0.18,-33.82,1.59,2.19,1.76,12.97,26.92,-7.51,7.39,-9.25,2.29,-6.34,0.83,-13.99,0.66,56.77,0.18,24.14
Port Adelaide,88.93,0.69,0.34,5.64,0.34,9.36,5.06,2.8,-6.07,0.75,-14.48,2.04,-3.04,8.58,13.96,6.44,-7.99,15.03,3.46,2.89,-21.27,4.68,10.59,0.44,23.25,0.31,13.97,2.23,43.32,1.11,-28.75,28.55,-1.91,7.65,-6.05,2.81,14.93,0.87,-9.84,0.35,-16.86,0.21,44.83
Richmond,90.76,6.18,2.41,7.51,33.61,7.76,-12.9,3.95,32.51,0.67,-23.6,3.28,55.89,7.48,-0.65,7.62,8.87,15.09,3.87,3.28,-10.65,3.34,-21.08,0.58,62.46,0.32,17.65,1.53,-1.67,1.17,-24.9,26.27,-9.75,7.81,-4.09,2.68,9.61,1.12,16.06,0.55,30.64,0.29,100.0
St Kilda,88.4,7.79,-0.26,4.75,-15.5,8.71,-2.23,2.82,-5.4,1.03,17.45,1.79,-14.92,6.77,-10.08,6.82,-2.56,13.59,-6.46,4.44,20.95,3.35,-20.84,0.41,14.85,0.21,-22.79,1.75,12.47,1.47,-5.65,28.19,-3.15,8.27,1.56,2.58,5.52,1.03,6.74,0.42,-0.24,0.07,-51.72
Sydney Swans,83.86,-1.55,-5.38,5.98,6.39,8.9,-0.1,2.99,0.3,0.82,-6.5,2.17,3.14,8.47,12.5,6.4,-8.56,14.88,2.42,2.98,-18.82,4.51,6.57,0.41,14.85,0.29,6.62,1.89,21.47,1.48,-5.01,24.46,-15.97,6.57,-19.32,2.39,-2.25,1.04,7.77,0.34,-19.24,0.13,-10.34
West Coast Eagles,100.56,6.02,13.46,5.94,5.68,10.86,21.9,3.44,15.4,1.13,28.85,2.3,9.32,9.1,20.87,7.97,13.87,17.07,17.5,3.62,-1.39,5.89,39.18,0.54,51.26,0.33,21.32,1.62,4.11,1.91,22.59,33.04,13.51,9.65,18.51,2.6,6.34,1.18,22.28,0.65,54.39,0.2,37.93
