,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
GWS GIANTS,Round 1,108.86,0.28,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,-18.9,88.29
North Melbourne,Round 2,108.86,-2.83,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,-13.78,93.86
Gold Coast SUNS,Round 3,108.86,-5.59,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-17.45,89.86
Geelong Cats,Round 4,108.86,9.67,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,-20.48,86.57
Essendon,Round 5,108.86,-7.86,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-7.22,101.0
Fremantle,Round 6,108.86,6.72,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,0.98,109.93
Richmond,Round 7,108.86,4.38,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,15.74,126.0
West Coast Eagles,Round 8,108.86,15.37,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,-25.29,81.33
Hawthorn,Round 9,108.86,4.63,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,0.52,109.43
Brisbane Lions,Round 10,108.86,-6.73,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-8.79,99.29
Sydney Swans,Round 11,108.86,-2.79,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-15.36,92.14
St Kilda,Round 12,108.86,-2.49,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,11.42,121.29
Collingwood,Round 13,108.86,-6.77,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-2.5,106.14
Port Adelaide,Round 14,108.86,2.25,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,0.72,109.64
Gold Coast SUNS,Round 16,108.86,-5.59,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-17.45,89.86
Adelaide Crows,Round 17,108.86,-4.02,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,1.97,111.0
North Melbourne,Round 18,108.86,-2.83,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,-13.78,93.86
Carlton,Round 19,108.86,-0.31,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-5.25,103.14
St Kilda,Round 20,108.86,-2.49,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,11.42,121.29
West Coast Eagles,Round 21,108.86,15.37,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,-25.29,81.33
Western Bulldogs,Round 22,108.86,5.46,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,15.22,125.43
Hawthorn,Round 23,108.86,4.63,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,0.52,109.43
Collingwood,Round 24,108.86,-6.77,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-2.5,106.14
