,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
North Melbourne,Round 1,106.54,-1.56,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,1.77,108.43
Collingwood,Round 2,106.54,-7.71,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,2.0,108.67
Carlton,Round 3,106.54,-0.07,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-2.25,104.14
Fremantle,Round 4,106.54,7.54,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,16.26,123.86
Brisbane Lions,Round 5,106.54,-6.26,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-17.09,88.33
St Kilda,Round 6,106.54,-0.93,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,7.81,114.86
GWS GIANTS,Round 7,106.54,0.19,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,-2.19,104.21
Port Adelaide,Round 8,106.54,0.43,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,13.1,120.5
Gold Coast SUNS,Round 9,106.54,-4.98,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-0.2,106.33
Essendon,Round 10,106.54,-7.8,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-26.79,78.0
Geelong Cats,Round 11,106.54,8.63,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,1.64,108.29
Hawthorn,Round 13,106.54,5.44,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,9.01,116.14
St Kilda,Round 14,106.54,-0.93,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,7.81,114.86
Richmond,Round 15,106.54,5.84,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,9.55,116.71
Sydney Swans,Round 16,106.54,-3.66,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,2.24,108.93
North Melbourne,Round 17,106.54,-1.56,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,1.77,108.43
Adelaide Crows,Round 18,106.54,-4.27,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,-2.07,104.33
Brisbane Lions,Round 19,106.54,-6.26,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-17.09,88.33
Essendon,Round 20,106.54,-7.8,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-26.79,78.0
GWS GIANTS,Round 21,106.54,0.19,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,-2.19,104.21
Melbourne,Round 22,106.54,-9.18,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,2.31,109.0
West Coast Eagles,Round 23,106.54,14.67,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,9.41,116.57
Fremantle,Round 24,106.54,7.54,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,16.26,123.86
