,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
Carlton,Round 1,100.46,3.77,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,2.67,103.14
Port Adelaide,Round 2,100.46,-1.23,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,-12.04,88.36
St Kilda,Round 3,100.46,0.74,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,-3.02,97.43
Brisbane Lions,Round 4,100.46,-4.05,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-11.84,88.57
Fremantle,Round 5,100.46,8.12,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,15.8,116.33
Gold Coast SUNS,Round 6,100.46,-3.48,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-24.35,76.0
Melbourne,Round 7,100.46,-10.06,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-6.76,93.67
Hawthorn,Round 8,100.46,7.08,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,-5.43,95.0
West Coast Eagles,Round 9,100.46,12.17,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,-15.89,84.5
North Melbourne,Round 10,100.46,-4.07,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,13.77,114.29
Essendon,Round 11,100.46,-11.19,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-3.87,96.57
GWS GIANTS,Round 12,100.46,0.73,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,7.08,107.57
Sydney Swans,Round 13,100.46,-6.72,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-9.56,90.86
Western Bulldogs,Round 15,100.46,5.82,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,-15.39,85.0
Adelaide Crows,Round 16,100.46,0.42,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,6.51,107.0
Geelong Cats,Round 17,100.46,10.4,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,29.08,129.67
Essendon,Round 18,100.46,-11.19,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-3.87,96.57
West Coast Eagles,Round 19,100.46,12.17,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,-15.89,84.5
Collingwood,Round 20,100.46,-7.69,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,18.78,119.33
Gold Coast SUNS,Round 21,100.46,-3.48,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-24.35,76.0
St Kilda,Round 22,100.46,0.74,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,-3.02,97.43
North Melbourne,Round 23,100.46,-4.07,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,13.77,114.29
Geelong Cats,Round 24,100.46,10.4,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,29.08,129.67
