,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
Western Bulldogs,Round 1,106.6,4.73,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,5.38,112.33
Melbourne,Round 2,106.6,-10.24,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-19.63,85.67
Adelaide Crows,Round 3,106.6,0.67,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,-22.14,83.0
Sydney Swans,Round 4,106.6,-7.41,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-22.77,82.33
Gold Coast SUNS,Round 5,106.6,-2.85,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-30.58,74.0
Carlton,Round 6,106.6,4.67,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-2.91,103.5
Port Adelaide,Round 7,106.6,-1.57,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,12.57,120.0
Essendon,Round 8,106.6,-12.43,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-8.07,98.0
Brisbane Lions,Round 9,106.6,-3.88,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-11.51,94.33
Richmond,Round 10,106.6,0.9,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,10.69,118.0
Collingwood,Round 11,106.6,-9.01,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,0.38,107.0
West Coast Eagles,Round 13,106.6,11.49,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,6.94,114.0
Fremantle,Round 14,106.6,8.46,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,-2.44,104.0
Carlton,Round 15,106.6,4.67,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-2.91,103.5
Hawthorn,Round 16,106.6,7.03,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,-9.01,97.0
Western Bulldogs,Round 17,106.6,4.73,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,5.38,112.33
Melbourne,Round 18,106.6,-10.24,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-19.63,85.67
Sydney Swans,Round 19,106.6,-7.41,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-22.77,82.33
Geelong Cats,Round 20,106.6,9.35,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,8.15,115.29
St Kilda,Round 21,106.6,2.28,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,6.0,113.0
GWS GIANTS,Round 22,106.6,0.53,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,13.51,121.0
Richmond,Round 23,106.6,0.9,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,10.69,118.0
Adelaide Crows,Round 24,106.6,0.67,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,-22.14,83.0
