,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
St Kilda,Round 1,88.89,-0.47,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,-1.64,87.43
Essendon,Round 2,88.89,-11.92,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,0.28,89.14
North Melbourne,Round 3,88.89,-4.74,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,19.33,106.07
Gold Coast SUNS,Round 4,88.89,-5.35,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-7.42,82.29
Geelong Cats,Round 5,88.89,12.08,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,30.17,115.71
GWS GIANTS,Round 6,88.89,-0.34,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,-4.53,84.86
Fremantle,Round 7,88.89,7.95,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,-29.77,62.43
Carlton,Round 8,88.89,2.67,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-5.5,84.0
Port Adelaide,Round 9,88.89,-0.9,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,-4.61,84.79
Collingwood,Round 10,88.89,-8.05,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-1.97,87.14
West Coast Eagles,Round 11,88.89,12.65,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,-6.78,82.86
Sydney Swans,Round 12,88.89,-8.03,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-1.33,87.71
Brisbane Lions,Round 13,88.89,-1.74,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-0.03,88.86
Hawthorn,Round 14,88.89,6.29,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,1.89,90.57
Richmond,Round 16,88.89,-0.72,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,-16.59,74.14
Melbourne,Round 17,88.89,-11.23,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-7.59,82.14
Western Bulldogs,Round 18,88.89,9.39,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,27.28,113.14
Gold Coast SUNS,Round 19,88.89,-5.35,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-7.42,82.29
Port Adelaide,Round 20,88.89,-0.9,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,-4.61,84.79
Hawthorn,Round 21,88.89,6.29,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,1.89,90.57
West Coast Eagles,Round 22,88.89,12.65,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,-6.78,82.86
Collingwood,Round 23,88.89,-8.05,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-1.97,87.14
North Melbourne,Round 24,88.89,-4.74,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,19.33,106.07
