,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
Geelong Cats,Opening Round,85.29,10.48,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,-22.78,65.86
Sydney Swans,Round 1,85.29,-6.01,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,28.3,109.43
West Coast Eagles,Round 2,85.29,13.88,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,8.7,92.71
Richmond,Round 4,85.29,0.31,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,-16.25,71.43
Western Bulldogs,Round 5,85.29,7.01,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,-3.69,82.14
Collingwood,Round 6,85.29,-7.45,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,9.54,93.43
St Kilda,Round 7,85.29,-0.56,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,-20.78,67.57
Gold Coast SUNS,Round 8,85.29,-5.03,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-16.0,71.64
North Melbourne,Round 9,85.29,-2.97,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,-14.41,73.0
Melbourne,Round 10,85.29,-10.11,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-5.86,80.29
Hawthorn,Round 11,85.29,5.38,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,0.16,85.43
Essendon,Round 12,85.29,-10.63,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,7.87,92.0
Adelaide Crows,Round 13,85.29,-1.01,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,17.08,99.86
GWS GIANTS,Round 14,85.29,-0.88,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,-0.5,84.86
Geelong Cats,Round 15,85.29,10.48,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,-22.78,65.86
Port Adelaide,Round 17,85.29,0.39,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,24.12,105.86
Carlton,Round 18,85.29,2.82,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,1.0,86.14
Western Bulldogs,Round 19,85.29,7.01,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,-3.69,82.14
Gold Coast SUNS,Round 20,85.29,-5.03,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-16.0,71.64
Collingwood,Round 21,85.29,-7.45,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,9.54,93.43
Sydney Swans,Round 22,85.29,-6.01,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,28.3,109.43
Fremantle,Round 23,85.29,7.17,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,-9.05,77.57
Hawthorn,Round 24,85.29,5.38,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,0.16,85.43
