,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
Richmond,Round 1,79.7,1.81,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,1.0,80.5
Hawthorn,Round 2,79.7,5.2,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,-21.84,62.29
Western Bulldogs,Round 3,79.7,6.09,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,-15.04,67.71
Collingwood,Round 4,79.7,-7.38,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-29.28,56.36
West Coast Eagles,Round 5,79.7,13.58,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,15.61,92.14
North Melbourne,Round 6,79.7,-4.41,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,-10.03,71.71
Geelong Cats,Round 7,79.7,10.98,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,18.66,94.57
Adelaide Crows,Round 8,79.7,-0.74,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,-30.82,55.14
St Kilda,Round 9,79.7,-1.25,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,-11.81,70.29
Sydney Swans,Round 10,79.7,-4.82,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-3.93,76.57
GWS GIANTS,Round 11,79.7,1.72,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,5.22,83.86
Essendon,Round 13,79.7,-10.66,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-5.36,75.43
West Coast Eagles,Round 14,79.7,13.58,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,15.61,92.14
North Melbourne,Round 15,79.7,-4.41,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,-10.03,71.71
Port Adelaide,Round 16,79.7,1.52,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,13.81,90.71
Collingwood,Round 17,79.7,-7.38,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-29.28,56.36
Brisbane Lions,Round 18,79.7,-6.25,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-13.96,68.57
Melbourne,Round 19,79.7,-11.48,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-22.38,61.86
Hawthorn,Round 20,79.7,5.2,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,-21.84,62.29
Fremantle,Round 21,79.7,7.17,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,4.86,83.57
Gold Coast SUNS,Round 22,79.7,-4.16,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,5.4,84.0
Port Adelaide,Round 23,79.7,1.52,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,13.81,90.71
Essendon,Round 24,79.7,-10.66,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-5.36,75.43
