,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
GWS GIANTS,Opening Round,94.07,0.32,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,35.31,127.29
Port Adelaide,Round 1,94.07,2.4,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,2.05,96.0
Western Bulldogs,Round 2,94.07,5.25,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,-2.81,91.43
Carlton,Round 4,94.07,-0.01,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-14.28,80.64
Sydney Swans,Round 5,94.07,-2.97,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-0.68,93.43
Brisbane Lions,Round 6,94.07,-6.26,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-14.04,80.86
Essendon,Round 7,94.07,-8.6,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-24.45,71.07
Geelong Cats,Round 8,94.07,9.29,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,27.11,119.57
Fremantle,Round 9,94.07,7.29,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,-2.81,91.43
Adelaide Crows,Round 10,94.07,-3.59,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,-4.71,89.64
North Melbourne,Round 11,94.07,-2.52,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,-5.08,89.29
Hawthorn,Round 12,94.07,4.99,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,11.62,105.0
Melbourne,Round 13,94.07,-10.33,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-12.76,82.07
St Kilda,Round 15,94.07,-1.62,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,-13.14,81.71
West Coast Eagles,Round 16,94.07,15.04,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,7.22,100.86
Carlton,Round 17,94.07,-0.01,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-14.28,80.64
Gold Coast SUNS,Round 18,94.07,-5.29,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-5.32,89.07
Fremantle,Round 19,94.07,7.29,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,-2.81,91.43
Richmond,Round 20,94.07,4.48,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,-3.41,90.86
Brisbane Lions,Round 21,94.07,-6.26,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-14.04,80.86
Hawthorn,Round 22,94.07,4.99,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,11.62,105.0
Adelaide Crows,Round 23,94.07,-3.59,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,-4.71,89.64
Melbourne,Round 24,94.07,-10.33,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-12.76,82.07
