,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
Gold Coast SUNS,Opening Round,69.69,-4.84,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,5.98,73.86
Hawthorn,Round 1,69.69,4.4,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,-8.78,63.57
Adelaide Crows,Round 2,69.69,-2.57,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,-6.11,65.43
Port Adelaide,Round 3,69.69,2.23,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,-16.67,58.07
Melbourne,Round 5,69.69,-11.05,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,13.98,79.43
West Coast Eagles,Round 6,69.69,14.61,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,9.05,76.0
Collingwood,Round 7,69.69,-8.73,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-2.73,67.79
North Melbourne,Round 8,69.69,-2.05,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,-25.38,52.0
Sydney Swans,Round 9,69.69,-4.05,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-17.69,57.36
Western Bulldogs,Round 10,69.69,5.73,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,0.65,70.14
Richmond,Round 11,69.69,4.57,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,-7.15,64.71
Brisbane Lions,Round 12,69.69,-6.33,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-29.17,49.36
Carlton,Round 13,69.69,0.26,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,9.47,76.29
Geelong Cats,Round 14,69.69,9.47,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,-16.77,58.0
Fremantle,Round 15,69.69,7.84,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,-0.99,69.0
Gold Coast SUNS,Round 17,69.69,-4.84,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,5.98,73.86
Richmond,Round 18,69.69,4.57,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,-7.15,64.71
GWS GIANTS,Round 19,69.69,1.08,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,13.16,78.86
Western Bulldogs,Round 20,69.69,5.73,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,0.65,70.14
Sydney Swans,Round 21,69.69,-4.05,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-17.69,57.36
Geelong Cats,Round 22,69.69,9.47,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,-16.77,58.0
St Kilda,Round 23,69.69,-0.78,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,0.86,70.29
Carlton,Round 24,69.69,0.26,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,9.47,76.29
