,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
Geelong Cats,Round 1,80.51,10.8,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,-40.74,47.71
Sydney Swans,Round 2,80.51,-6.6,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-0.81,79.86
West Coast Eagles,Round 3,80.51,14.01,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,11.87,90.07
Western Bulldogs,Round 4,80.51,6.63,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,20.48,97.0
Richmond,Round 5,80.51,3.2,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,-13.41,69.71
Melbourne,Round 6,80.51,-10.71,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-16.78,67.0
Adelaide Crows,Round 7,80.51,-1.79,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,6.99,86.14
St Kilda,Round 8,80.51,0.04,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,30.87,105.36
Collingwood,Round 9,80.51,-8.12,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,8.94,87.71
GWS GIANTS,Round 10,80.51,0.76,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,-18.28,65.79
Port Adelaide,Round 11,80.51,-0.22,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,-7.55,74.43
Gold Coast SUNS,Round 12,80.51,-4.46,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,32.54,106.71
North Melbourne,Round 14,80.51,-1.26,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,20.48,97.0
Essendon,Round 15,80.51,-10.42,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-7.73,74.29
St Kilda,Round 16,80.51,0.04,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,30.87,105.36
Sydney Swans,Round 17,80.51,-6.6,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-0.81,79.86
Hawthorn,Round 18,80.51,4.36,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,20.48,97.0
Collingwood,Round 19,80.51,-8.12,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,8.94,87.71
West Coast Eagles,Round 20,80.51,14.01,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,11.87,90.07
Carlton,Round 21,80.51,2.02,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,25.62,101.14
Port Adelaide,Round 22,80.51,-0.22,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,-7.55,74.43
Brisbane Lions,Round 23,80.51,-4.79,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,19.24,96.0
Western Bulldogs,Round 24,80.51,6.63,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,20.48,97.0
