,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
Collingwood,Opening Round,89.09,-7.78,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-26.24,65.71
Melbourne,Round 1,89.09,-10.3,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-4.75,84.86
Hawthorn,Round 3,89.09,6.8,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,1.5,90.43
West Coast Eagles,Round 4,89.09,12.4,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,23.47,110.0
St Kilda,Round 5,89.09,0.35,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,-16.46,74.43
Adelaide Crows,Round 6,89.09,1.11,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,1.02,90.0
Western Bulldogs,Round 7,89.09,6.09,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,-8.84,81.21
Sydney Swans,Round 8,89.09,-6.42,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-7.55,82.36
Geelong Cats,Round 9,89.09,10.55,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,27.8,113.86
Fremantle,Round 10,89.09,8.25,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,8.96,97.07
Carlton,Round 11,89.09,3.83,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,17.62,104.79
Richmond,Round 12,89.09,-0.15,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,33.57,119.0
Port Adelaide,Round 13,89.09,-0.42,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,-8.6,81.43
Brisbane Lions,Round 14,89.09,-4.15,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-20.79,70.57
Gold Coast SUNS,Round 15,89.09,-3.47,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-8.6,81.43
West Coast Eagles,Round 17,89.09,12.4,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,23.47,110.0
Geelong Cats,Round 18,89.09,10.55,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,27.8,113.86
Essendon,Round 19,89.09,-11.78,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-7.16,82.71
Sydney Swans,Round 20,89.09,-6.42,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-7.55,82.36
Western Bulldogs,Round 21,89.09,6.09,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,-8.84,81.21
North Melbourne,Round 22,89.09,-4.7,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,-31.2,61.29
Gold Coast SUNS,Round 23,89.09,-3.47,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-8.6,81.43
St Kilda,Round 24,89.09,0.35,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,-16.46,74.43
