,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
Brisbane Lions,Opening Round,70.46,-5.36,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,0.97,71.14
Fremantle,Round 1,70.46,7.98,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,-4.71,67.14
St Kilda,Round 2,70.46,0.01,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,-16.46,58.86
Melbourne,Round 4,70.46,-10.88,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-28.84,50.14
Adelaide Crows,Round 5,70.46,-1.17,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,11.31,78.43
Hawthorn,Round 6,70.46,5.87,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,3.6,73.0
Carlton,Round 7,70.46,1.83,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-15.26,59.71
Collingwood,Round 8,70.46,-8.44,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,3.8,73.14
GWS GIANTS,Round 9,70.46,1.18,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,3.41,72.86
Port Adelaide,Round 10,70.46,0.59,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,-40.59,41.86
Western Bulldogs,Round 11,70.46,5.56,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,3.31,72.79
West Coast Eagles,Round 12,70.46,13.25,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,38.38,97.5
Gold Coast SUNS,Round 13,70.46,-4.08,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,5.83,74.57
Essendon,Round 14,70.46,-10.65,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,16.18,81.86
Brisbane Lions,Round 15,70.46,-5.36,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,0.97,71.14
Richmond,Round 17,70.46,3.05,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,-4.3,67.43
GWS GIANTS,Round 18,70.46,1.18,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,3.41,72.86
St Kilda,Round 19,70.46,0.01,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,-16.46,58.86
North Melbourne,Round 20,70.46,-3.18,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,18.31,83.36
Port Adelaide,Round 21,70.46,0.59,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,-40.59,41.86
Essendon,Round 22,70.46,-10.65,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,16.18,81.86
Sydney Swans,Round 23,70.46,-5.28,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-11.2,62.57
Richmond,Round 24,70.46,3.05,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,-4.3,67.43
