,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
Essendon,Opening Round,87.78,-10.73,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-9.02,79.86
West Coast Eagles,Round 1,87.78,13.63,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,35.65,119.07
Melbourne,Round 3,87.78,-10.54,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-7.88,80.86
Adelaide Crows,Round 4,87.78,-1.35,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,1.06,88.71
North Melbourne,Round 5,87.78,-2.44,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,0.58,88.29
Richmond,Round 6,87.78,2.01,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,8.71,95.43
Sydney Swans,Round 7,87.78,-5.86,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,27.75,112.14
Brisbane Lions,Round 8,87.78,-4.33,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-24.0,66.71
Western Bulldogs,Round 9,87.78,6.1,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,5.79,92.86
Hawthorn,Round 10,87.78,5.37,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,1.88,89.43
St Kilda,Round 11,87.78,0.0,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,-9.51,79.43
Fremantle,Round 12,87.78,7.54,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,-19.45,70.71
Geelong Cats,Round 13,87.78,10.06,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,-3.01,85.14
GWS GIANTS,Round 15,87.78,0.07,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,-2.03,86.0
Melbourne,Round 16,87.78,-10.54,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-7.88,80.86
Essendon,Round 17,87.78,-10.73,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-9.02,79.86
Collingwood,Round 18,87.78,-8.33,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-6.92,81.71
Adelaide Crows,Round 19,87.78,-1.35,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,1.06,88.71
Brisbane Lions,Round 20,87.78,-4.33,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-24.0,66.71
Richmond,Round 21,87.78,2.01,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,8.71,95.43
Carlton,Round 22,87.78,2.3,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-20.75,69.57
GWS GIANTS,Round 23,87.78,0.07,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,-2.03,86.0
Port Adelaide,Round 24,87.78,0.36,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,7.74,94.57
