,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
Sydney Swans,Opening Round,79.17,-7.69,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-27.64,57.29
Essendon,Round 1,79.17,-12.03,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-12.85,69.0
Carlton,Round 2,79.17,2.26,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-16.46,66.14
GWS GIANTS,Round 3,79.17,0.97,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,-8.69,72.29
Port Adelaide,Round 5,79.17,-0.3,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,13.86,90.14
Geelong Cats,Round 6,79.17,11.72,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,-14.11,68.0
West Coast Eagles,Round 7,79.17,12.96,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,15.84,91.71
Richmond,Round 8,79.17,1.63,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,-5.0,75.21
Melbourne,Round 9,79.17,-11.78,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-33.42,52.71
Gold Coast SUNS,Round 10,79.17,-4.68,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-37.21,49.71
Brisbane Lions,Round 11,79.17,-3.3,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-14.29,67.86
Collingwood,Round 12,79.17,-8.78,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-1.3,78.14
Western Bulldogs,Round 13,79.17,8.52,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,33.17,105.43
Adelaide Crows,Round 14,79.17,0.2,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,-5.99,74.43
North Melbourne,Round 16,79.17,-3.11,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,-14.74,67.5
St Kilda,Round 17,79.17,0.25,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,29.2,102.29
Fremantle,Round 18,79.17,8.06,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,1.95,80.71
Port Adelaide,Round 19,79.17,-0.3,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,13.86,90.14
Carlton,Round 20,79.17,2.26,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-16.46,66.14
Adelaide Crows,Round 21,79.17,0.2,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,-5.99,74.43
Collingwood,Round 22,79.17,-8.78,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-1.3,78.14
Melbourne,Round 23,79.17,-11.78,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-33.42,52.71
Brisbane Lions,Round 24,79.17,-3.3,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-14.29,67.86
