,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
GWS GIANTS,Round 1,105.55,0.32,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,-16.35,88.29
North Melbourne,Round 2,105.55,-2.68,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,-11.08,93.86
Gold Coast SUNS,Round 3,105.55,-5.38,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-14.86,89.86
Geelong Cats,Round 4,105.55,9.49,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,-17.98,86.57
Essendon,Round 5,105.55,-7.96,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-40.59,62.71
Fremantle,Round 6,105.55,6.81,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,-5.6,99.64
Richmond,Round 7,105.55,4.48,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,19.37,126.0
West Coast Eagles,Round 8,105.55,15.18,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,-13.51,91.29
Hawthorn,Round 9,105.55,4.78,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,3.68,109.43
Brisbane Lions,Round 10,105.55,-6.73,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-2.69,102.71
Sydney Swans,Round 11,105.55,-2.93,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-8.38,96.71
St Kilda,Round 12,105.55,-2.16,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,14.91,121.29
Collingwood,Round 13,105.55,-6.91,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,0.9,106.5
Port Adelaide,Round 14,105.55,2.0,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,3.87,109.64
Gold Coast SUNS,Round 16,105.55,-5.38,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-14.86,89.86
Adelaide Crows,Round 17,105.55,-3.96,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,-3.36,102.0
North Melbourne,Round 18,105.55,-2.68,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,-11.08,93.86
Carlton,Round 19,105.55,-0.09,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-2.28,103.14
St Kilda,Round 20,105.55,-2.16,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,14.91,121.29
West Coast Eagles,Round 21,105.55,15.18,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,-13.51,91.29
Western Bulldogs,Round 22,105.55,5.17,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,18.83,125.43
Hawthorn,Round 23,105.55,4.78,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,3.68,109.43
Collingwood,Round 24,105.55,-6.91,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,0.9,106.5
