,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
Western Bulldogs,Round 1,107.64,4.93,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,5.11,113.14
Melbourne,Round 2,107.64,-10.35,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-21.56,84.43
Adelaide Crows,Round 3,107.64,0.67,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,-36.83,68.0
Sydney Swans,Round 4,107.64,-7.32,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-14.59,91.93
Gold Coast SUNS,Round 5,107.64,-2.93,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-26.41,79.21
Carlton,Round 6,107.64,4.51,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-11.34,95.43
Port Adelaide,Round 7,107.64,-1.43,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,7.64,115.86
Essendon,Round 8,107.64,-12.36,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-22.89,83.0
Brisbane Lions,Round 9,107.64,-3.95,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-19.44,86.71
Richmond,Round 10,107.64,0.95,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,5.51,113.57
Collingwood,Round 11,107.64,-8.92,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-16.39,90.0
West Coast Eagles,Round 13,107.64,11.56,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,5.91,114.0
Fremantle,Round 14,107.64,8.43,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,-23.02,82.86
Carlton,Round 15,107.64,4.51,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-11.34,95.43
Hawthorn,Round 16,107.64,6.99,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,-8.89,98.07
Western Bulldogs,Round 17,107.64,4.93,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,5.11,113.14
Melbourne,Round 18,107.64,-10.35,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-21.56,84.43
Sydney Swans,Round 19,107.64,-7.32,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-14.59,91.93
Geelong Cats,Round 20,107.64,9.52,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,6.18,114.29
St Kilda,Round 21,107.64,2.09,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,6.31,114.43
GWS GIANTS,Round 22,107.64,0.64,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,-8.16,98.86
Richmond,Round 23,107.64,0.95,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,5.51,113.57
Adelaide Crows,Round 24,107.64,0.67,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,-36.83,68.0
