,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
Collingwood,Round 1,75.77,-9.86,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-21.75,59.29
Richmond,Round 2,75.77,1.15,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,-4.04,72.71
Essendon,Round 3,75.77,-12.96,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-30.99,52.29
St Kilda,Round 4,75.77,1.43,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,0.49,76.14
Hawthorn,Round 5,75.77,6.22,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,-16.29,63.43
Sydney Swans,Round 6,75.77,-8.11,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-19.88,60.71
North Melbourne,Round 7,75.77,-3.06,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,-20.06,60.57
Western Bulldogs,Round 8,75.77,7.65,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,-9.5,68.57
Adelaide Crows,Round 9,75.77,0.84,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,1.81,77.14
Geelong Cats,Round 10,75.77,10.46,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,-8.84,69.07
Fremantle,Round 11,75.77,8.99,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,8.97,82.57
GWS GIANTS,Round 13,75.77,0.34,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,-33.63,50.29
Melbourne,Round 14,75.77,-11.27,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,5.31,79.79
Sydney Swans,Round 15,75.77,-8.11,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-19.88,60.71
Carlton,Round 16,75.77,2.88,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,4.26,79.0
Brisbane Lions,Round 17,75.77,-2.56,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-11.39,67.14
West Coast Eagles,Round 18,75.77,12.15,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,16.33,88.14
Hawthorn,Round 19,75.77,6.22,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,-16.29,63.43
Adelaide Crows,Round 20,75.77,0.84,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,1.81,77.14
Geelong Cats,Round 21,75.77,10.46,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,-8.84,69.07
Fremantle,Round 22,75.77,8.99,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,8.97,82.57
Carlton,Round 23,75.77,2.88,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,4.26,79.0
Gold Coast SUNS,Round 24,75.77,-4.29,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-2.72,73.71
