,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
Carlton,Round 1,97.71,3.51,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,5.56,103.14
Port Adelaide,Round 2,97.71,-1.22,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,-9.57,88.36
St Kilda,Round 3,97.71,0.59,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,-0.29,97.43
Brisbane Lions,Round 4,97.71,-4.32,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-9.35,88.57
Fremantle,Round 5,97.71,7.98,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,12.58,110.0
Gold Coast SUNS,Round 6,97.71,-3.65,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-24.85,73.43
Melbourne,Round 7,97.71,-10.17,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-9.21,88.71
Hawthorn,Round 8,97.71,6.9,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,2.05,99.71
West Coast Eagles,Round 9,97.71,12.11,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,-8.84,89.07
North Melbourne,Round 10,97.71,-4.07,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,16.97,114.29
Essendon,Round 11,97.71,-11.17,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-1.17,96.57
GWS GIANTS,Round 12,97.71,0.64,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,10.09,107.57
Sydney Swans,Round 13,97.71,-6.67,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-13.45,84.57
Western Bulldogs,Round 15,97.71,5.65,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,-13.01,85.0
Adelaide Crows,Round 16,97.71,0.1,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,9.51,107.0
Geelong Cats,Round 17,97.71,10.18,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,19.16,116.43
Essendon,Round 18,97.71,-11.17,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-1.17,96.57
West Coast Eagles,Round 19,97.71,12.11,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,-8.84,89.07
Collingwood,Round 20,97.71,-7.77,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-3.8,94.0
Gold Coast SUNS,Round 21,97.71,-3.65,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-24.85,73.43
St Kilda,Round 22,97.71,0.59,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,-0.29,97.43
North Melbourne,Round 23,97.71,-4.07,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,16.97,114.29
Geelong Cats,Round 24,97.71,10.18,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,19.16,116.43
