,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
Adelaide Crows,Round 1,116.09,-3.71,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,9.77,127.43
Geelong Cats,Round 2,116.09,8.0,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,8.17,125.57
Richmond,Round 3,116.09,4.95,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,4.84,121.71
Port Adelaide,Round 4,116.09,2.84,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,-5.37,109.86
GWS GIANTS,Round 5,116.09,0.87,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,5.83,122.86
Western Bulldogs,Round 6,116.09,2.77,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,-37.49,72.57
Brisbane Lions,Round 7,116.09,-7.77,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-1.92,113.86
Fremantle,Round 8,116.09,7.62,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,8.29,125.71
Carlton,Round 9,116.09,0.04,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-6.72,108.29
West Coast Eagles,Round 10,116.09,14.94,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,-2.05,113.71
Gold Coast SUNS,Round 11,116.09,-4.32,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-8.69,106.0
Melbourne,Round 12,116.09,-9.75,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-23.71,88.57
Western Bulldogs,Round 14,116.09,2.77,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,-37.49,72.57
Collingwood,Round 15,116.09,-7.95,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-11.4,102.86
Fremantle,Round 16,116.09,7.62,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,8.29,125.71
Hawthorn,Round 17,116.09,5.56,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,20.29,139.64
Sydney Swans,Round 18,116.09,-1.54,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,-5.13,110.14
Geelong Cats,Round 19,116.09,8.0,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,8.17,125.57
Melbourne,Round 20,116.09,-9.75,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-23.71,88.57
North Melbourne,Round 21,116.09,-2.94,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,-10.16,104.29
Richmond,Round 22,116.09,4.95,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,4.84,121.71
Essendon,Round 23,116.09,-8.31,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-6.6,108.43
GWS GIANTS,Round 24,116.09,0.87,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,5.83,122.86
