,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
Hawthorn,Opening Round,92.59,6.36,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,-18.07,75.86
Brisbane Lions,Round 1,92.59,-4.95,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-21.77,72.43
Fremantle,Round 2,92.59,7.67,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,-21.16,73.0
North Melbourne,Round 4,92.59,-4.32,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,0.83,93.36
Collingwood,Round 5,92.59,-7.85,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-31.49,63.43
Port Adelaide,Round 6,92.59,-0.83,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,-14.53,79.14
Gold Coast SUNS,Round 7,92.59,-3.21,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,16.79,108.14
GWS GIANTS,Round 8,92.59,1.97,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,22.04,113.0
Essendon,Round 9,92.59,-11.84,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-26.33,68.21
Carlton,Round 10,92.59,3.71,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-23.47,70.86
Melbourne,Round 11,92.59,-11.45,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-0.49,92.14
Adelaide Crows,Round 12,92.59,0.75,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,4.91,97.14
Richmond,Round 13,92.59,1.11,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,-3.56,89.29
Port Adelaide,Round 15,92.59,-0.83,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,-14.53,79.14
Western Bulldogs,Round 16,92.59,6.17,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,-0.32,92.29
Fremantle,Round 17,92.59,7.67,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,-21.16,73.0
St Kilda,Round 18,92.59,0.59,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,-11.21,82.21
North Melbourne,Round 19,92.59,-4.32,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,0.83,93.36
GWS GIANTS,Round 20,92.59,1.97,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,22.04,113.0
Essendon,Round 21,92.59,-11.84,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-26.33,68.21
Brisbane Lions,Round 22,92.59,-4.95,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-21.77,72.43
Geelong Cats,Round 23,92.59,11.33,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,-3.56,89.29
West Coast Eagles,Round 24,92.59,11.9,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,2.45,94.86
