,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
Gold Coast SUNS,Round 1,67.54,-4.05,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-12.85,58.86
Brisbane Lions,Round 2,67.54,-4.91,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,14.64,77.43
Fremantle,Round 3,67.54,7.71,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,4.38,70.5
GWS GIANTS,Round 4,67.54,0.9,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,-28.72,48.14
Carlton,Round 5,67.54,2.7,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,17.4,79.29
Essendon,Round 6,67.54,-11.06,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-4.81,64.29
Hawthorn,Round 7,67.54,5.97,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,-11.8,59.57
Melbourne,Round 8,67.54,-10.85,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-5.67,63.71
Richmond,Round 9,67.54,1.32,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,-2.59,65.79
St Kilda,Round 10,67.54,-0.23,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,30.72,88.29
Adelaide Crows,Round 11,67.54,-0.33,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,-15.4,57.14
Geelong Cats,Round 12,67.54,10.48,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,5.23,71.07
North Melbourne,Round 13,67.54,-3.95,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,2.8,69.43
Carlton,Round 14,67.54,2.7,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,17.4,79.29
Collingwood,Round 16,67.54,-7.84,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,5.12,71.0
GWS GIANTS,Round 17,67.54,0.9,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,-28.72,48.14
Port Adelaide,Round 18,67.54,0.56,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,8.72,73.43
Richmond,Round 19,67.54,1.32,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,-2.59,65.79
Fremantle,Round 20,67.54,7.71,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,4.38,70.5
Melbourne,Round 21,67.54,-10.85,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,-5.67,63.71
Adelaide Crows,Round 22,67.54,-0.33,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,-15.4,57.14
Western Bulldogs,Round 23,67.54,6.08,4.73,-6.32,0.06,-10.63,-21.57,43.38,-2.31,-12.01,26.17,-2.07,66.14
Sydney Swans,Round 24,67.54,-5.61,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,20.57,81.43
