,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,hitouts,L3Avg score,L3Avg value
North Melbourne,Round 1,107.3,-0.54,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,10.9,119.0
Collingwood,Round 2,107.3,-8.23,-7.35,-1.41,1.2,-13.62,-43.98,10.29,13.11,29.74,-7.72,-1.87,105.29
Carlton,Round 3,107.3,-0.61,-18.76,-0.08,4.63,24.52,-27.17,-33.82,30.46,26.53,2.25,-2.95,104.14
Fremantle,Round 4,107.3,7.5,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,15.43,123.86
Brisbane Lions,Round 5,107.3,-6.6,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-19.45,86.43
St Kilda,Round 6,107.3,-0.84,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,7.05,114.86
GWS GIANTS,Round 7,107.3,-0.07,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,-2.88,104.21
Port Adelaide,Round 8,107.3,0.82,-6.01,14.0,-7.95,-21.25,23.25,13.97,43.32,-28.71,-1.88,3.98,111.57
Gold Coast SUNS,Round 9,107.3,-5.15,-12.05,-2.6,0.06,7.36,-15.97,-8.09,-6.81,-11.37,-11.53,-7.6,99.14
Essendon,Round 10,107.3,-7.63,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-32.9,72.0
Geelong Cats,Round 11,107.3,7.96,5.4,6.56,16.07,-3.81,-32.77,-19.12,-15.17,-4.95,20.74,0.92,108.29
Hawthorn,Round 13,107.3,4.85,9.1,4.57,0.49,20.44,-32.77,-33.82,-0.39,11.11,4.93,5.91,113.64
St Kilda,Round 14,107.3,-0.84,-5.34,-10.05,-2.52,20.98,14.85,-22.79,12.47,-5.59,-3.11,7.05,114.86
Richmond,Round 15,107.3,6.73,32.59,-0.61,8.92,-10.63,62.46,17.65,-1.67,-24.86,-9.71,8.77,116.71
Sydney Swans,Round 16,107.3,-3.29,0.37,12.54,-8.52,-18.8,14.85,6.62,21.47,-4.95,-15.93,1.52,108.93
North Melbourne,Round 17,107.3,-0.54,0.7,-9.38,1.63,1.09,82.07,-33.82,2.83,13.04,-7.41,10.9,119.0
Adelaide Crows,Round 18,107.3,-5.13,-20.44,-6.06,-7.09,10.08,-57.98,43.38,-11.31,-24.86,5.96,-6.93,99.86
Brisbane Lions,Round 19,107.3,-6.6,-10.37,-16.95,-15.52,6.27,-10.36,-77.94,-31.23,11.11,10.53,-19.45,86.43
Essendon,Round 20,107.3,-7.63,7.42,-2.34,-2.23,-20.44,3.64,-44.85,-22.24,23.96,-15.8,-32.9,72.0
GWS GIANTS,Round 21,107.3,-0.07,1.71,1.65,7.78,-8.17,-24.37,32.35,-9.38,-44.12,-4.63,-2.88,104.21
Melbourne,Round 22,107.3,-9.09,-6.68,-7.52,-9.38,3.0,3.64,21.32,-21.59,37.44,-14.52,1.58,109.0
West Coast Eagles,Round 23,107.3,15.13,15.47,20.91,13.92,-1.36,51.26,21.32,4.11,22.67,13.56,8.64,116.57
Fremantle,Round 24,107.3,7.5,9.77,3.11,-1.52,14.99,9.24,61.76,-6.17,-13.94,8.12,15.43,123.86
