opponent,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints,uncontestedPossessions W Mean,uncontestedPossessions,contestedPossessions W Mean,contestedPossessions,marks W Mean,marks,contestedMarks W Mean,contestedMarks,uncontestedMarks W Mean,uncontestedMarks,kicks W Mean,kicks,handballs W Mean,handballs,disposals W Mean,disposals,tackles W Mean,tackles,clearances.totalClearances W Mean,clearances.totalClearances,goals W Mean,goals,behinds W Mean,behinds,freesFor W Mean,freesFor,freesAgainst W Mean,freesAgainst,hitouts W Mean,hitouts,extendedStats.hitoutsToAdvantage W Mean,extendedStats.hitoutsToAdvantage,intercepts W Mean,intercepts,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks,marksInside50 W Mean,marksInside50,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead
Adelaide Crows,87.54,6.11,-1.19,4.91,-12.6,8.62,-3.21,2.37,-20.44,1.03,17.58,1.34,-36.28,7.07,-6.06,6.5,-7.09,13.57,-6.56,4.04,10.08,4.0,-5.46,0.15,-57.98,0.39,43.38,1.38,-11.31,1.17,-24.86,30.83,5.96,8.26,1.49,1.85,-24.3,0.64,-33.61,0.31,-26.37,0.2,37.93
Brisbane Lions,84.19,5.36,-4.97,4.54,-19.19,7.3,-18.03,2.67,-10.37,0.75,-14.38,1.92,-8.7,6.25,-16.95,5.91,-15.52,12.16,-16.26,3.9,6.27,3.41,-19.4,0.32,-10.36,0.06,-77.94,1.07,-31.23,1.73,11.11,32.16,10.53,7.77,-4.53,2.22,-9.17,0.94,-2.49,0.27,-35.87,0.17,17.24
Carlton,90.37,7.1,2.0,5.45,-2.99,9.23,3.64,2.42,-18.76,0.59,-32.65,1.83,-12.98,7.52,-0.08,7.32,4.63,14.84,2.19,4.57,24.52,4.88,15.34,0.26,-27.17,0.18,-33.82,2.03,30.46,1.97,26.53,29.75,2.25,7.4,-9.08,2.42,-0.98,0.7,-27.39,0.51,21.14,0.04,-72.41
Collingwood,81.4,2.71,-8.12,5.43,-3.35,8.96,0.61,2.76,-7.35,0.75,-14.38,2.02,-3.95,7.42,-1.41,7.08,1.2,14.5,-0.15,3.17,-13.62,4.42,4.47,0.2,-43.98,0.3,10.29,1.76,13.11,2.02,29.74,26.85,-7.72,8.08,-0.72,2.36,-3.44,0.88,-8.71,0.18,-57.24,0.09,-37.93
Essendon,79.32,5.05,-10.47,5.7,1.46,8.87,-0.4,3.2,7.42,0.75,-14.38,2.45,16.5,7.35,-2.34,6.84,-2.23,14.19,-2.29,2.92,-20.44,4.26,0.69,0.37,3.64,0.15,-44.85,1.21,-22.24,1.93,23.96,24.5,-15.8,7.07,-13.13,2.41,-1.39,1.02,5.81,0.41,-2.61,0.09,-37.93
Fremantle,95.48,21.63,7.77,5.72,1.82,9.2,3.3,3.27,9.77,1.16,32.42,2.11,0.33,7.76,3.11,6.89,-1.52,14.66,0.95,4.22,14.99,3.83,-9.48,0.39,9.24,0.44,61.76,1.46,-6.17,1.34,-13.94,31.46,8.12,8.51,4.56,2.83,15.79,1.14,18.26,0.52,23.52,0.08,-44.83
GWS GIANTS,89.14,2.53,0.62,5.66,0.75,9.4,5.55,3.03,1.71,0.87,-0.68,2.16,2.71,7.65,1.65,7.54,7.78,15.18,4.53,3.37,-8.17,4.39,3.76,0.27,-24.37,0.36,32.35,1.41,-9.38,0.87,-44.12,27.75,-4.63,7.29,-10.43,2.6,6.38,1.08,12.03,0.55,30.64,0.05,-65.52
Geelong Cats,97.52,9.96,10.08,6.38,13.56,9.93,11.5,3.14,5.4,0.87,-0.68,2.28,8.42,8.02,6.56,8.12,16.07,16.14,11.14,3.53,-3.81,4.52,6.83,0.24,-32.77,0.22,-19.12,1.32,-15.17,1.48,-4.95,35.13,20.74,10.08,23.85,2.39,-2.21,1.04,7.88,0.26,-38.24,0.13,-10.34
Gold Coast SUNS,84.69,11.75,-4.41,4.91,-12.6,9.34,4.87,2.62,-12.05,0.95,8.45,1.66,-21.07,7.33,-2.6,7.0,0.06,14.33,-1.32,3.94,7.36,4.97,17.47,0.3,-15.97,0.25,-8.09,1.45,-6.81,1.38,-11.37,25.74,-11.53,7.22,-11.29,2.65,8.43,1.02,5.81,0.37,-12.11,0.17,17.24
Hawthorn,93.63,5.44,5.68,5.6,-0.32,9.38,5.32,3.25,9.1,0.85,-2.97,2.4,14.12,7.87,4.57,7.03,0.49,14.9,2.6,4.42,20.44,4.75,12.27,0.24,-32.77,0.18,-33.82,1.55,-0.39,1.73,11.11,30.53,4.93,9.05,11.19,2.5,2.29,0.95,-1.45,0.36,-14.49,0.2,37.93
Melbourne,79.25,3.69,-10.55,5.55,-1.21,7.75,-12.98,2.78,-6.68,0.92,5.02,1.87,-11.08,6.96,-7.52,6.34,-9.38,13.3,-8.41,3.78,3.0,4.1,-3.1,0.37,3.64,0.33,21.32,1.22,-21.59,2.14,37.44,24.87,-14.52,7.47,-8.22,2.42,-0.98,1.08,12.03,0.45,6.89,0.08,-44.83
North Melbourne,85.8,4.68,-3.15,6.16,9.65,7.78,-12.64,3.0,0.7,0.88,0.46,2.12,0.81,6.82,-9.38,7.11,1.63,13.92,-4.15,3.71,1.09,3.48,-17.75,0.65,82.07,0.18,-33.82,1.6,2.83,1.76,13.04,26.94,-7.41,7.44,-8.59,2.29,-6.3,0.83,-13.9,0.66,56.77,0.18,24.14
