,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
St Kilda,Round 1,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,2.36,52.16,10.59,59.51
Essendon,Round 2,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-2.98,55.03,2.9,55.37
North Melbourne,Round 3,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.57,57.76,21.71,65.49
Gold Coast SUNS,Round 4,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.41,52.65,-22.26,41.83
Geelong Cats,Round 5,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-4.94,56.17,-4.42,51.43
GWS GIANTS,Round 6,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.33,54.11,11.93,60.23
Fremantle,Round 7,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,5.14,50.78,-8.68,49.14
Carlton,Round 8,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-3.87,55.54,-0.33,53.63
Port Adelaide,Round 9,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,4.94,50.88,-9.42,48.74
Collingwood,Round 10,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.04,52.84,-3.38,51.99
West Coast Eagles,Round 11,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.04,53.95,11.32,59.9
Sydney Swans,Round 12,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-0.99,53.92,-11.06,47.86
Brisbane Lions,Round 13,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.7,50.04,3.59,55.74
Hawthorn,Round 14,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.55,48.74,-1.08,53.23
Richmond,Round 16,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.68,55.43,10.7,59.57
Melbourne,Round 17,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.27,57.58,5.67,56.86
Western Bulldogs,Round 18,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.36,50.67,-10.31,48.26
Gold Coast SUNS,Round 19,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.41,52.65,-22.26,41.83
Port Adelaide,Round 20,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,4.94,50.88,-9.42,48.74
Hawthorn,Round 21,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.55,48.74,-1.08,53.23
West Coast Eagles,Round 22,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.04,53.95,11.32,59.9
Collingwood,Round 23,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.04,52.84,-3.38,51.99
North Melbourne,Round 24,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.57,57.76,21.71,65.49
