,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Geelong Cats,Opening Round,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-4.7,58.27,1.74,56.63
Sydney Swans,Round 1,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-0.71,55.93,-3.86,53.51
West Coast Eagles,Round 2,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-0.86,56.01,0.66,56.03
Richmond,Round 4,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-4.09,57.9,6.83,59.46
Western Bulldogs,Round 5,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.52,52.62,-9.81,50.2
Collingwood,Round 6,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.28,54.83,-15.67,46.94
St Kilda,Round 7,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,1.6,54.66,-0.65,55.3
Gold Coast SUNS,Round 8,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.22,54.86,8.35,60.31
North Melbourne,Round 9,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.45,60.0,17.3,65.29
Melbourne,Round 10,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.95,60.33,1.28,56.37
Hawthorn,Round 11,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.63,50.65,-0.31,55.49
Essendon,Round 12,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-3.53,57.56,-2.1,54.49
Adelaide Crows,Round 13,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,1.65,54.63,-11.61,49.2
GWS GIANTS,Round 14,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.07,56.13,-3.9,53.49
Geelong Cats,Round 15,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-4.7,58.27,1.74,56.63
Port Adelaide,Round 17,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,5.12,52.83,-0.47,55.4
Carlton,Round 18,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-3.7,57.66,1.69,56.6
Western Bulldogs,Round 19,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.52,52.62,-9.81,50.2
Gold Coast SUNS,Round 20,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.22,54.86,8.35,60.31
Collingwood,Round 21,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.28,54.83,-15.67,46.94
Sydney Swans,Round 22,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-0.71,55.93,-3.86,53.51
Fremantle,Round 23,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,4.87,52.95,8.68,60.49
Hawthorn,Round 24,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.63,50.65,-0.31,55.49
