,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Richmond,Round 1,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-4.18,46.88,1.24,45.79
Hawthorn,Round 2,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.61,40.98,-8.22,41.51
Western Bulldogs,Round 3,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.51,42.58,20.47,54.49
Collingwood,Round 4,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.23,44.38,2.39,46.31
West Coast Eagles,Round 5,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.31,45.52,2.45,46.34
North Melbourne,Round 6,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.88,48.76,33.47,60.37
Geelong Cats,Round 7,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-4.74,47.16,11.23,50.31
Adelaide Crows,Round 8,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,1.31,44.34,3.32,46.73
St Kilda,Round 9,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,1.97,44.05,-2.72,44.0
Sydney Swans,Round 10,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-0.42,45.11,3.27,46.71
GWS GIANTS,Round 11,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-0.88,45.32,-6.57,42.26
Essendon,Round 13,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-3.64,46.61,1.95,46.11
West Coast Eagles,Round 14,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.31,45.52,2.45,46.34
North Melbourne,Round 15,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.88,48.76,33.47,60.37
Port Adelaide,Round 16,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,5.01,42.78,1.7,46.0
Collingwood,Round 17,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.23,44.38,2.39,46.31
Brisbane Lions,Round 18,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.87,42.03,15.03,52.03
Melbourne,Round 19,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.17,48.39,2.34,46.29
Hawthorn,Round 20,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.61,40.98,-8.22,41.51
Fremantle,Round 21,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,4.82,42.86,13.93,51.53
Gold Coast SUNS,Round 22,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.25,44.36,8.27,48.97
Port Adelaide,Round 23,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,5.01,42.78,1.7,46.0
Essendon,Round 24,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-3.64,46.61,1.95,46.11
