,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
GWS GIANTS,Opening Round,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.05,45.7,24.81,57.4
Port Adelaide,Round 1,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,5.18,42.99,5.11,48.34
Western Bulldogs,Round 2,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,4.93,43.09,1.63,46.74
Carlton,Round 4,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-4.32,47.26,-1.63,45.24
Sydney Swans,Round 5,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-1.27,45.8,3.74,47.71
Brisbane Lions,Round 6,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.27,42.55,8.78,50.03
Essendon,Round 7,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-1.96,46.12,-8.55,42.06
Geelong Cats,Round 8,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-5.65,47.93,-1.85,45.14
Fremantle,Round 9,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,4.19,43.4,23.31,56.71
Adelaide Crows,Round 10,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,0.44,45.02,2.28,47.04
North Melbourne,Round 11,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.1,48.67,2.76,47.26
Hawthorn,Round 12,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.17,41.42,-1.65,45.23
Melbourne,Round 13,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-6.65,48.44,9.68,50.44
St Kilda,Round 15,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,2.68,44.04,10.15,50.66
West Coast Eagles,Round 16,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.28,45.81,-13.7,39.69
Carlton,Round 17,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-4.32,47.26,-1.63,45.24
Gold Coast SUNS,Round 18,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.23,44.67,10.74,50.93
Fremantle,Round 19,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,4.19,43.4,23.31,56.71
Richmond,Round 20,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.12,46.67,-0.17,45.91
Brisbane Lions,Round 21,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.27,42.55,8.78,50.03
Hawthorn,Round 22,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.17,41.42,-1.65,45.23
Adelaide Crows,Round 23,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,0.44,45.02,2.28,47.04
Melbourne,Round 24,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-6.65,48.44,9.68,50.44
