,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Gold Coast SUNS,Opening Round,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.53,49.38,-6.02,47.34
Hawthorn,Round 1,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.44,45.81,15.49,58.17
Adelaide Crows,Round 2,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,1.15,49.57,5.44,53.11
Port Adelaide,Round 3,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,4.99,47.76,-1.55,49.59
Melbourne,Round 5,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.29,54.08,-1.31,49.71
West Coast Eagles,Round 6,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.06,50.68,0.68,50.71
Collingwood,Round 7,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.44,49.43,-5.18,47.76
North Melbourne,Round 8,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.22,54.04,11.85,56.34
Sydney Swans,Round 9,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-1.36,50.83,-5.52,47.59
Western Bulldogs,Round 10,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.03,47.74,-13.84,43.4
Richmond,Round 11,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.27,51.83,6.79,53.79
Brisbane Lions,Round 12,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.49,47.09,9.97,55.39
Carlton,Round 13,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-4.28,52.38,8.28,54.54
Geelong Cats,Round 14,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-5.4,53.0,4.25,52.51
Fremantle,Round 15,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,4.71,47.88,14.41,57.63
Gold Coast SUNS,Round 17,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.53,49.38,-6.02,47.34
Richmond,Round 18,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.27,51.83,6.79,53.79
GWS GIANTS,Round 19,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.18,50.74,-2.2,49.26
Western Bulldogs,Round 20,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.03,47.74,-13.84,43.4
Sydney Swans,Round 21,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-1.36,50.83,-5.52,47.59
Geelong Cats,Round 22,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-5.4,53.0,4.25,52.51
St Kilda,Round 23,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,2.48,48.93,-8.06,46.31
Carlton,Round 24,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-4.28,52.38,8.28,54.54
