,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Geelong Cats,Round 1,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-5.04,47.05,2.79,47.14
Sydney Swans,Round 2,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-0.83,45.05,3.36,47.4
West Coast Eagles,Round 3,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.31,45.27,16.94,53.63
Western Bulldogs,Round 4,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.14,42.5,8.46,49.74
Richmond,Round 5,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.59,46.35,9.4,50.17
Melbourne,Round 6,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-6.82,47.95,29.18,59.24
Adelaide Crows,Round 7,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,0.98,44.24,5.34,48.31
St Kilda,Round 8,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,2.5,43.59,-5.45,43.36
Collingwood,Round 9,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.24,44.13,-12.04,40.34
GWS GIANTS,Round 10,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-0.91,45.09,0.68,46.17
Port Adelaide,Round 11,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,4.86,42.61,4.03,47.71
Gold Coast SUNS,Round 12,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.59,43.98,17.18,53.74
North Melbourne,Round 14,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.8,48.46,-5.3,43.43
Essendon,Round 15,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-2.92,46.02,-9.92,41.31
St Kilda,Round 16,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,2.5,43.59,-5.45,43.36
Sydney Swans,Round 17,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-0.83,45.05,3.36,47.4
Hawthorn,Round 18,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.46,40.82,-6.17,43.03
Collingwood,Round 19,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.24,44.13,-12.04,40.34
West Coast Eagles,Round 20,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.31,45.27,16.94,53.63
Carlton,Round 21,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-3.68,46.39,-5.15,43.5
Port Adelaide,Round 22,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,4.86,42.61,4.03,47.71
Brisbane Lions,Round 23,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.41,41.99,-17.77,37.71
Western Bulldogs,Round 24,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.14,42.5,8.46,49.74
