,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Collingwood,Opening Round,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.81,49.53,-2.02,49.4
Melbourne,Round 1,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-6.14,53.73,13.05,57.0
Hawthorn,Round 3,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.08,46.23,8.57,54.74
West Coast Eagles,Round 4,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.4,51.15,10.73,55.83
St Kilda,Round 5,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,3.44,48.75,5.97,53.43
Adelaide Crows,Round 6,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,-0.05,50.45,-7.46,46.66
Western Bulldogs,Round 7,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,4.72,48.16,-0.81,50.01
Sydney Swans,Round 8,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-1.59,51.24,1.01,50.93
Geelong Cats,Round 9,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-5.97,53.63,17.81,59.4
Fremantle,Round 10,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,4.27,48.37,26.2,63.63
Carlton,Round 11,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-4.58,52.85,11.92,56.43
Richmond,Round 12,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-2.63,51.79,5.69,53.29
Port Adelaide,Round 13,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,5.02,48.02,8.75,54.83
Brisbane Lions,Round 14,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,5.82,47.66,-3.23,48.79
Gold Coast SUNS,Round 15,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.31,49.78,6.58,53.74
West Coast Eagles,Round 17,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.4,51.15,10.73,55.83
Geelong Cats,Round 18,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-5.97,53.63,17.81,59.4
Essendon,Round 19,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-1.35,51.12,-14.84,42.94
Sydney Swans,Round 20,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-1.59,51.24,1.01,50.93
Western Bulldogs,Round 21,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,4.72,48.16,-0.81,50.01
North Melbourne,Round 22,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.06,54.26,20.59,60.8
Gold Coast SUNS,Round 23,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.31,49.78,6.58,53.74
St Kilda,Round 24,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,3.44,48.75,5.97,53.43
