,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Brisbane Lions,Opening Round,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.68,47.93,-4.46,49.09
Fremantle,Round 1,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,4.86,48.76,-20.09,41.06
St Kilda,Round 2,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,2.56,49.86,-6.71,47.93
Melbourne,Round 4,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-6.88,54.91,8.49,55.74
Adelaide Crows,Round 5,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,0.75,50.75,-11.81,45.31
Hawthorn,Round 6,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.47,46.71,17.73,60.49
Carlton,Round 7,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-3.65,53.07,1.77,52.29
Collingwood,Round 8,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.08,50.58,12.71,57.91
GWS GIANTS,Round 9,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.14,51.72,-1.25,50.74
Port Adelaide,Round 10,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,4.91,48.73,-8.8,46.86
Western Bulldogs,Round 11,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.37,48.53,-0.35,51.2
West Coast Eagles,Round 12,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.18,51.74,13.0,58.06
Gold Coast SUNS,Round 13,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.23,50.51,-1.97,50.37
Essendon,Round 14,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-3.06,52.74,13.99,58.57
Brisbane Lions,Round 15,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.68,47.93,-4.46,49.09
Richmond,Round 17,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.71,53.1,-12.09,45.17
GWS GIANTS,Round 18,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.14,51.72,-1.25,50.74
St Kilda,Round 19,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,2.56,49.86,-6.71,47.93
North Melbourne,Round 20,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.72,55.41,17.54,60.39
Port Adelaide,Round 21,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,4.91,48.73,-8.8,46.86
Essendon,Round 22,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-3.06,52.74,13.99,58.57
Sydney Swans,Round 23,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-0.74,51.51,-14.93,43.71
Richmond,Round 24,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.71,53.1,-12.09,45.17
