,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Essendon,Opening Round,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-3.61,45.44,4.66,46.0
West Coast Eagles,Round 1,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.05,44.26,-4.46,41.99
Melbourne,Round 3,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.86,47.54,-6.51,41.09
Adelaide Crows,Round 4,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,1.81,43.02,3.44,45.46
North Melbourne,Round 5,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.6,47.4,12.47,49.43
Richmond,Round 6,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-4.12,45.68,1.87,44.77
Sydney Swans,Round 7,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-0.71,44.11,14.08,50.14
Brisbane Lions,Round 8,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,7.14,40.88,-11.01,39.11
Western Bulldogs,Round 9,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.47,41.53,-15.95,36.94
Hawthorn,Round 10,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.73,39.92,27.39,55.99
St Kilda,Round 11,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,1.61,43.1,-1.5,43.29
Fremantle,Round 12,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,5.0,41.71,10.72,48.66
Geelong Cats,Round 13,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-4.73,45.98,42.23,62.51
GWS GIANTS,Round 15,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.06,44.27,3.05,45.29
Melbourne,Round 16,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.86,47.54,-6.51,41.09
Essendon,Round 17,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-3.61,45.44,4.66,46.0
Collingwood,Round 18,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.23,43.27,16.88,51.37
Adelaide Crows,Round 19,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,1.81,43.02,3.44,45.46
Brisbane Lions,Round 20,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,7.14,40.88,-11.01,39.11
Richmond,Round 21,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-4.12,45.68,1.87,44.77
Carlton,Round 22,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-3.58,45.43,6.17,46.66
GWS GIANTS,Round 23,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.06,44.27,3.05,45.29
Port Adelaide,Round 24,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,5.08,41.68,26.71,55.69
