,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Sydney Swans,Opening Round,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-1.06,52.02,-2.67,50.34
Essendon,Round 1,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-2.86,52.99,0.66,52.06
Carlton,Round 2,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-4.01,53.62,30.92,67.71
GWS GIANTS,Round 3,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.27,52.13,-7.97,47.6
Port Adelaide,Round 5,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,4.91,49.06,2.09,52.8
Geelong Cats,Round 6,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-4.89,54.12,-19.95,41.4
West Coast Eagles,Round 7,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-0.85,51.91,10.71,57.26
Richmond,Round 8,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.57,53.37,5.43,54.53
Melbourne,Round 9,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.44,55.6,-4.87,49.2
Gold Coast SUNS,Round 10,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.49,50.71,-22.02,40.33
Brisbane Lions,Round 11,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.79,48.2,8.99,56.37
Collingwood,Round 12,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.06,50.93,4.8,54.2
Western Bulldogs,Round 13,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.28,48.89,2.59,53.06
Adelaide Crows,Round 14,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,1.22,50.85,1.59,52.54
North Melbourne,Round 16,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.51,55.65,25.89,65.11
St Kilda,Round 17,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,2.27,50.33,2.8,53.17
Fremantle,Round 18,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,4.88,49.07,2.69,53.11
Port Adelaide,Round 19,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,4.91,49.06,2.09,52.8
Carlton,Round 20,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-4.01,53.62,30.92,67.71
Adelaide Crows,Round 21,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,1.22,50.85,1.59,52.54
Collingwood,Round 22,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.06,50.93,4.8,54.2
Melbourne,Round 23,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.44,55.6,-4.87,49.2
Brisbane Lions,Round 24,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.79,48.2,8.99,56.37
