,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
GWS GIANTS,Round 1,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-0.99,48.77,16.33,56.43
North Melbourne,Round 2,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-6.77,51.79,12.43,54.54
Gold Coast SUNS,Round 3,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.04,47.79,-14.59,41.43
Geelong Cats,Round 4,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-5.89,51.31,5.13,51.0
Essendon,Round 5,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-1.54,49.04,9.89,53.31
Fremantle,Round 6,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,3.97,46.45,-21.13,38.26
Richmond,Round 7,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-2.83,49.7,0.6,48.8
West Coast Eagles,Round 8,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.07,48.81,10.2,53.46
Hawthorn,Round 9,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.06,44.28,4.54,50.71
Brisbane Lions,Round 10,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.35,45.4,15.38,55.97
Sydney Swans,Round 11,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-1.52,49.03,6.31,51.57
St Kilda,Round 12,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,2.87,46.94,-1.24,47.91
Collingwood,Round 13,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,2.05,47.32,9.07,52.91
Port Adelaide,Round 14,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,5.16,45.92,11.65,54.16
Gold Coast SUNS,Round 16,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.04,47.79,-14.59,41.43
Adelaide Crows,Round 17,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,0.33,48.13,1.71,49.34
North Melbourne,Round 18,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-6.77,51.79,12.43,54.54
Carlton,Round 19,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-4.66,50.65,12.2,54.43
St Kilda,Round 20,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,2.87,46.94,-1.24,47.91
West Coast Eagles,Round 21,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.07,48.81,10.2,53.46
Western Bulldogs,Round 22,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,4.82,46.07,13.79,55.2
Hawthorn,Round 23,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.06,44.28,4.54,50.71
Collingwood,Round 24,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,2.05,47.32,9.07,52.91
