,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Western Bulldogs,Round 1,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.17,43.61,-4.78,43.8
Melbourne,Round 2,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.66,49.67,9.7,50.46
Adelaide Crows,Round 3,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,1.47,45.2,-10.46,41.19
Sydney Swans,Round 4,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-1.36,46.49,22.17,56.2
Gold Coast SUNS,Round 5,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.57,45.15,21.46,55.87
Carlton,Round 6,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-4.28,47.91,19.63,55.03
Port Adelaide,Round 7,6.11,0.07,5.19,7.19,-1.84,-3.73,1.98,17.77,5.03,43.66,-16.96,38.2
Essendon,Round 8,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-2.59,47.08,-5.46,43.49
Brisbane Lions,Round 9,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.7,42.98,-5.78,43.34
Richmond,Round 10,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.44,47.49,0.24,46.11
Collingwood,Round 11,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.31,45.27,16.09,53.4
West Coast Eagles,Round 13,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-0.89,46.27,7.7,49.54
Fremantle,Round 14,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,5.0,43.68,-0.13,45.94
Carlton,Round 15,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-4.28,47.91,19.63,55.03
Hawthorn,Round 16,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.52,41.87,-17.61,37.9
Western Bulldogs,Round 17,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.17,43.61,-4.78,43.8
Melbourne,Round 18,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.66,49.67,9.7,50.46
Sydney Swans,Round 19,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-1.36,46.49,22.17,56.2
Geelong Cats,Round 20,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-5.2,48.37,0.2,46.09
St Kilda,Round 21,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,2.17,44.89,9.37,50.31
GWS GIANTS,Round 22,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.36,46.49,-1.37,45.37
Richmond,Round 23,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.44,47.49,0.24,46.11
Adelaide Crows,Round 24,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,1.47,45.2,-10.46,41.19
