,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Collingwood,Round 1,0.48,-7.52,1.77,17.61,-10.75,-6.88,-5.06,6.0,1.52,44.41,-7.79,42.6
Richmond,Round 2,-6.58,2.1,-10.51,13.07,-3.45,1.43,-10.22,6.0,-3.85,46.9,5.04,48.53
Essendon,Round 3,-6.44,0.32,-12.72,28.62,15.49,1.43,-13.05,-3.63,-3.12,46.54,1.88,47.07
St Kilda,Round 4,-1.11,12.37,-9.07,16.27,7.09,20.85,8.68,-8.62,1.82,44.28,1.6,46.94
Hawthorn,Round 5,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.7,41.1,4.39,48.23
Sydney Swans,Round 6,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-1.02,45.56,28.87,59.54
North Melbourne,Round 7,-6.3,-11.39,-9.07,3.94,-17.04,-12.62,-18.22,-7.02,-7.43,48.71,0.43,46.4
Western Bulldogs,Round 8,8.32,3.42,7.18,-2.92,13.26,7.17,8.68,-0.0,5.32,42.81,7.92,49.86
Adelaide Crows,Round 9,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,1.49,44.43,12.77,52.1
Geelong Cats,Round 10,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-5.1,47.51,2.81,47.5
Fremantle,Round 11,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,5.31,42.82,1.8,47.03
GWS GIANTS,Round 13,-2.34,-5.34,4.8,3.94,-9.39,13.6,0.74,-18.46,-1.44,45.75,12.62,52.03
Melbourne,Round 14,-11.47,-3.75,-17.81,7.75,15.49,7.17,7.27,-8.62,-7.44,48.71,-7.81,42.59
Sydney Swans,Round 15,0.81,-4.44,3.64,-8.53,-0.17,11.37,8.68,-3.63,-1.02,45.56,28.87,59.54
Carlton,Round 16,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-3.82,46.88,3.66,47.89
Brisbane Lions,Round 17,12.41,2.36,15.06,-2.0,-5.0,18.33,0.74,12.76,6.62,42.29,12.06,51.77
West Coast Eagles,Round 18,1.79,0.32,1.77,-3.38,25.31,18.33,-10.22,-5.36,-1.42,45.74,-8.59,42.23
Hawthorn,Round 19,9.84,10.22,12.31,1.88,-5.0,-2.07,13.15,10.41,9.7,41.1,4.39,48.23
Adelaide Crows,Round 20,2.12,-1.64,17.45,-12.79,-7.97,-20.0,-1.66,-13.11,1.49,44.43,12.77,52.1
Geelong Cats,Round 21,-2.19,-3.06,0.32,-18.33,13.26,7.17,-1.66,10.41,-5.1,47.51,2.81,47.5
Fremantle,Round 22,6.84,10.52,1.77,-10.13,1.55,-17.68,13.15,6.0,5.31,42.82,1.8,47.03
Carlton,Round 23,-3.25,-5.56,0.67,-14.25,-9.39,-2.07,11.62,-8.62,-3.82,46.88,3.66,47.89
Gold Coast SUNS,Round 24,-2.19,8.14,3.26,-3.38,-1.84,-13.94,1.98,32.5,1.67,44.35,-15.09,39.23
